R-Peaks (Sample Index),R-R Interval (Samples)
2500047,900.0
2500097,1000.0
2500135,760.0
2500141,120.0
2500192,1020.0
2500241,980.0
2500284,860.0
2500332,960.0
2500385,1060.0
2500434,980.0
2500481,940.0
2500531,1000.0
2500581,1000.0
2500629,960.0
2500677,960.0
2500729,1040.0
2500775,920.0
2500814,780.0
2500859,900.0
2500905,920.0
2500944,780.0
2500984,800.0
2501033,980.0
2501073,800.0
2501110,740.0
2501154,880.0
2501193,780.0
2501228,700.0
2501263,700.0
2501306,860.0
2501343,740.0
2501381,760.0
2501430,980.0
2501471,820.0
2501509,760.0
2501553,880.0
2501591,760.0
2501628,740.0
2501674,920.0
2501719,900.0
2501761,840.0
2501807,920.0
2501850,860.0
2501888,760.0
2501938,1000.0
2501983,900.0
2502027,880.0
2502073,920.0
2502119,920.0
2502159,800.0
2502199,800.0
2502244,900.0
2502282,760.0
2502318,720.0
2502368,1000.0
2502410,840.0
2502446,720.0
2502486,800.0
2502527,820.0
2502564,740.0
2502601,740.0
2502646,900.0
2502684,760.0
2502722,760.0
2502763,820.0
2502799,720.0
2502838,780.0
2502887,980.0
2502927,800.0
2502938,220.0
2502961,460.0
2502996,700.0
2503032,720.0
2503067,700.0
2503102,700.0
2503151,980.0
2503193,840.0
2503231,760.0
2503280,980.0
2503324,880.0
2503364,800.0
2503403,780.0
2503443,800.0
2503479,720.0
2503514,700.0
2503552,760.0
2503588,720.0
2503622,680.0
2503669,940.0
2503712,860.0
2503750,760.0
2503788,760.0
2503832,880.0
2503870,760.0
2503908,760.0
2503956,960.0
2503997,820.0
2504034,740.0
2504072,760.0
2504110,760.0
2504145,700.0
2504183,760.0
2504232,980.0
2504272,800.0
2504310,760.0
2504357,940.0
2504396,780.0
2504431,700.0
2504477,920.0
2504522,900.0
2504561,780.0
2504600,780.0
2504648,960.0
2504688,800.0
2504726,760.0
2504769,860.0
2504807,760.0
2504841,680.0
2504877,720.0
2504920,860.0
2504958,760.0
2504994,720.0
2505039,900.0
2505081,840.0
2505116,700.0
2505151,700.0
2505198,940.0
2505237,780.0
2505274,740.0
2505314,800.0
2505354,800.0
2505389,700.0
2505425,720.0
2505463,760.0
2505498,700.0
2505533,700.0
2505580,940.0
2505621,820.0
2505657,720.0
2505695,760.0
2505735,800.0
2505773,760.0
2505812,780.0
2505853,820.0
2505891,760.0
2505928,740.0
2505976,960.0
2506022,920.0
2506066,880.0
2506113,940.0
2506159,920.0
2506203,880.0
2506250,940.0
2506297,940.0
2506342,900.0
2506388,920.0
2506435,940.0
2506480,900.0
2506527,940.0
2506574,940.0
2506619,900.0
2506659,800.0
2506702,860.0
2506741,780.0
2506792,1020.0
2506836,880.0
2506872,720.0
2506907,700.0
2506955,960.0
2506995,800.0
2507033,760.0
2507077,880.0
2507119,840.0
2507156,740.0
2507201,900.0
2507247,920.0
2507288,820.0
2507325,740.0
2507367,840.0
2507405,760.0
2507439,680.0
2507476,740.0
2507520,880.0
2507558,760.0
2507594,720.0
2507640,920.0
2507680,800.0
2507716,720.0
2507751,700.0
2507785,680.0
2507825,800.0
2507865,800.0
2507905,800.0
2507953,960.0
2507996,860.0
2508035,780.0
2508085,1000.0
2508132,940.0
2508175,860.0
2508222,940.0
2508268,920.0
2508312,880.0
2508349,740.0
2508397,960.0
2508440,860.0
2508479,780.0
2508531,1040.0
2508577,920.0
2508623,920.0
2508671,960.0
2508718,940.0
2508762,880.0
2508804,840.0
2508853,980.0
2508895,840.0
2508936,820.0
2508987,1020.0
2509028,820.0
2509065,740.0
2509115,1000.0
2509160,900.0
2509199,780.0
2509245,920.0
2509293,960.0
2509338,900.0
2509386,960.0
2509435,980.0
2509484,980.0
2509533,980.0
2509582,980.0
2509629,940.0
2509678,980.0
2509728,1000.0
2509776,960.0
2509825,980.0
2509876,1020.0
2509925,980.0
2509975,1000.0
2510026,1020.0
2510076,1000.0
2510127,1020.0
2510179,1040.0
2510230,1020.0
2510281,1020.0
2510334,1060.0
2510387,1060.0
2510438,1020.0
2510491,1060.0
2510542,1020.0
2510580,760.0
2510615,700.0
2510666,1020.0
2510706,800.0
2510742,720.0
2510790,960.0
2510829,780.0
2510866,740.0
2510902,720.0
2510935,660.0
2510969,680.0
2511002,660.0
2511039,740.0
2511077,760.0
2511114,740.0
2511164,1000.0
2511209,900.0
2511247,760.0
2511289,840.0
2511334,900.0
2511378,880.0
2511426,960.0
2511465,780.0
2511499,680.0
2511537,760.0
2511584,940.0
2511623,780.0
2511664,820.0
2511714,1000.0
2511757,860.0
2511796,780.0
2511844,960.0
2511883,780.0
2511918,700.0
2511960,840.0
2512004,880.0
2512042,760.0
2512083,820.0
2512131,960.0
2512171,800.0
2512210,780.0
2512259,980.0
2512301,840.0
2512341,800.0
2512387,920.0
2512429,840.0
2512465,720.0
2512514,980.0
2512560,920.0
2512606,920.0
2512653,940.0
2512696,860.0
2512732,720.0
2512768,720.0
2512807,780.0
2512844,740.0
2512884,800.0
2512931,940.0
2512971,800.0
2513008,740.0
2513053,900.0
2513093,800.0
2513131,760.0
2513180,980.0
2513221,820.0
2513258,740.0
2513308,1000.0
2513353,900.0
2513394,820.0
2513438,880.0
2513483,900.0
2513525,840.0
2513573,960.0
2513620,940.0
2513662,840.0
2513701,780.0
2513746,900.0
2513785,780.0
2513822,740.0
2513869,940.0
2513914,900.0
2513952,760.0
2513986,680.0
2514034,960.0
2514076,840.0
2514108,640.0
2514114,120.0
2514156,840.0
2514201,900.0
2514242,820.0
2514288,920.0
2514328,800.0
2514363,700.0
2514398,700.0
2514444,920.0
2514481,740.0
2514517,720.0
2514567,1000.0
2514610,860.0
2514647,740.0
2514683,720.0
2514720,740.0
2514758,760.0
2514805,940.0
2514852,940.0
2514892,800.0
2514931,780.0
2514977,920.0
2515016,780.0
2515059,860.0
2515106,940.0
2515144,760.0
2515179,700.0
2515216,740.0
2515253,740.0
2515289,720.0
2515338,980.0
2515381,860.0
2515417,720.0
2515455,760.0
2515496,820.0
2515534,760.0
2515577,860.0
2515627,1000.0
2515670,860.0
2515709,780.0
2515747,760.0
2515782,700.0
2515817,700.0
2515857,800.0
2515894,740.0
2515929,700.0
2515970,820.0
2516011,820.0
2516047,720.0
2516087,800.0
2516127,800.0
2516161,680.0
2516196,700.0
2516237,820.0
2516275,760.0
2516309,680.0
2516348,780.0
2516385,740.0
2516418,660.0
2516451,660.0
2516485,680.0
2516519,680.0
2516552,660.0
2516586,680.0
2516622,720.0
2516656,680.0
2516688,640.0
2516724,720.0
2516759,700.0
2516791,640.0
2516824,660.0
2516859,700.0
2516892,660.0
2516924,640.0
2516957,660.0
2516997,800.0
2517034,740.0
2517068,680.0
2517101,660.0
2517133,640.0
2517165,640.0
2517200,700.0
2517245,900.0
2517282,740.0
2517315,660.0
2517316,20.0
2517350,680.0
2517384,680.0
2517416,640.0
2517448,640.0
2517480,640.0
2517512,640.0
2517545,660.0
2517578,660.0
2517610,640.0
2517648,760.0
2517691,860.0
2517727,720.0
2517761,680.0
2517797,720.0
2517833,720.0
2517868,700.0
2517905,740.0
2517952,940.0
2517992,800.0
2518030,760.0
2518077,940.0
2518120,860.0
2518162,840.0
2518202,800.0
2518247,900.0
2518287,800.0
2518324,740.0
2518373,980.0
2518417,880.0
2518459,840.0
2518504,900.0
2518546,840.0
2518583,740.0
2518621,760.0
2518671,1000.0
2518714,860.0
2518755,820.0
2518806,1020.0
2518851,900.0
2518893,840.0
2518939,920.0
2518979,800.0
2519016,740.0
2519060,880.0
2519101,820.0
2519137,720.0
2519179,840.0
2519223,880.0
2519261,760.0
2519299,760.0
2519345,920.0
2519383,760.0
2519422,780.0
2519470,960.0
2519511,820.0
2519547,720.0
2519596,980.0
2519638,840.0
2519675,740.0
2519723,960.0
2519766,860.0
2519804,760.0
2519845,820.0
2519889,880.0
2519927,760.0
2519964,740.0
2520005,820.0
2520043,760.0
2520078,700.0
2520124,920.0
2520165,820.0
2520200,700.0
2520237,740.0
2520278,820.0
