# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,Arr,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,0,0,0,0,0,0,0,0,0,0,0,90,456,20,96,-6,0,0
20000,1,0,0,0,0,0,0,0,0,0,0,0,98,441,10,82,-5,0,0
40000,2,0,0,0,0,0,0,0,0,0,0,0,98,434,17,80,-4,0,0
60000,3,0,0,0,0,0,0,0,0,0,0,0,97,443,17,83,-10,0,0
80000,4,0,0,0,0,0,0,0,0,0,0,0,94,438,18,82,-4,0,0
100000,5,0,0,0,0,0,0,0,0,0,0,0,98,438,15,82,-11,0,0
120000,6,0,0,0,0,0,0,0,0,0,0,0,94,438,16,82,-12,0,0
140000,7,0,0,0,0,0,0,0,0,0,0,0,97,438,17,82,-10,0,0
160000,8,0,0,0,0,0,0,0,0,0,0,0,97,448,17,85,-11,0,0
180000,9,0,0,0,0,0,0,0,0,0,0,0,98,446,17,84,-10,0,0
200000,10,0,0,0,0,0,0,0,0,0,0,0,94,448,20,85,-16,0,0
220000,11,0,0,0,0,0,0,0,0,0,0,0,97,447,19,85,-15,0,0
240000,12,0,0,0,0,0,0,0,0,0,0,0,97,461,21,90,-18,0,0
260000,13,0,0,0,0,0,0,0,0,0,0,0,98,448,21,85,-17,0,0
280000,14,0,0,0,0,0,0,0,0,0,0,0,94,434,17,80,-16,0,0
300000,15,0,0,0,0,0,0,0,0,0,0,0,94,444,20,80,-10,0,0
320000,16,0,0,0,0,0,0,0,0,0,0,0,94,439,20,82,-13,0,0
340000,17,0,0,0,0,0,0,0,0,0,0,0,97,440,18,79,-10,0,0
360000,18,0,0,0,0,0,0,0,0,0,0,0,98,451,19,86,-10,0,0
380000,19,0,0,0,0,0,0,0,0,0,0,0,94,451,18,86,-9,0,0
400000,20,0,0,0,0,0,0,0,0,0,0,0,94,453,20,87,-12,0,0
420000,21,0,0,0,0,0,0,0,0,0,0,0,98,442,17,83,-9,0,0
440000,22,0,0,0,0,0,0,0,0,0,0,0,97,451,17,86,-9,0,0
460000,23,0,0,0,0,0,0,0,0,0,0,0,94,453,18,87,-8,0,0
480000,24,0,0,0,0,0,0,0,0,0,0,0,98,443,14,83,-7,0,0
500000,25,0,0,0,0,0,0,0,0,0,0,0,95,452,15,90,-8,0,0
520000,26,0,0,0,0,0,0,0,0,0,0,0,98,443,15,83,-8,0,0
540000,27,0,0,0,0,0,0,0,0,0,0,0,94,451,18,86,-16,0,0
560000,28,0,0,0,0,0,0,0,0,0,0,0,97,443,18,83,-9,0,0
580000,29,0,0,0,0,0,0,0,0,0,0,0,98,449,19,86,-14,0,0
600000,30,0,0,0,0,0,0,0,0,0,0,0,98,438,17,82,-6,0,0
620000,31,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
