R-Peaks (Sample Index),R-R Interval (Samples)
2200039,640.0
2200075,720.0
2200111,720.0
2200147,720.0
2200183,720.0
2200204,420.0
2200219,300.0
2200255,720.0
2200290,700.0
2200326,720.0
2200362,720.0
2200398,720.0
2200419,420.0
2200434,300.0
2200470,720.0
2200506,720.0
2200541,700.0
2200577,720.0
2200613,720.0
2200649,720.0
2200685,720.0
2200721,720.0
2200756,700.0
2200792,720.0
2200828,720.0
2200864,720.0
2200900,720.0
2200935,700.0
2200971,720.0
2201007,720.0
2201043,720.0
2201079,720.0
2201114,700.0
2201150,720.0
2201186,720.0
2201221,700.0
2201257,720.0
2201293,720.0
2201329,720.0
2201365,720.0
2201400,700.0
2201436,720.0
2201472,720.0
2201508,720.0
2201543,700.0
2201579,720.0
2201615,720.0
2201650,700.0
2201686,720.0
2201722,720.0
2201757,700.0
2201793,720.0
2201828,700.0
2201864,720.0
2201899,700.0
2201935,720.0
2201971,720.0
2202006,700.0
2202041,700.0
2202077,720.0
2202112,700.0
2202148,720.0
2202183,700.0
2202218,700.0
2202254,720.0
2202289,700.0
2202324,700.0
2202360,720.0
2202395,700.0
2202431,720.0
2202466,700.0
2202501,700.0
2202537,720.0
2202572,700.0
2202608,720.0
2202643,700.0
2202679,720.0
2202714,700.0
2202750,720.0
2202785,700.0
2202821,720.0
2202856,700.0
2202892,720.0
2202927,700.0
2202963,720.0
2202999,720.0
2203035,720.0
2203070,700.0
2203106,720.0
2203141,700.0
2203177,720.0
2203213,720.0
2203249,720.0
2203285,720.0
2203320,700.0
2203356,720.0
2203392,720.0
2203428,720.0
2203464,720.0
2203499,700.0
2203535,720.0
2203570,700.0
2203606,720.0
2203642,720.0
2203678,720.0
2203713,700.0
2203749,720.0
2203784,700.0
2203820,720.0
2203856,720.0
2203891,700.0
2203927,720.0
2203962,700.0
2203998,720.0
2204034,720.0
2204069,700.0
2204105,720.0
2204141,720.0
2204176,700.0
2204212,720.0
2204248,720.0
2204284,720.0
2204319,700.0
2204355,720.0
2204390,700.0
2204426,720.0
2204461,700.0
2204497,720.0
2204533,720.0
2204569,720.0
2204604,700.0
2204640,720.0
2204675,700.0
2204711,720.0
2204747,720.0
