R-Peaks (Sample Index),R-R Interval (Samples)
500025,680.0
500059,680.0
500092,660.0
500126,680.0
500160,680.0
500193,660.0
500194,20.0
500228,680.0
500261,660.0
500295,680.0
500329,680.0
500362,660.0
500396,680.0
500430,680.0
500464,680.0
500498,680.0
500531,660.0
500565,680.0
500599,680.0
500633,680.0
500666,660.0
500700,680.0
500734,680.0
500767,660.0
500801,680.0
500835,680.0
500869,680.0
500902,660.0
500936,680.0
500969,660.0
501003,680.0
501037,680.0
501071,680.0
501105,680.0
501138,660.0
501172,680.0
501206,680.0
501240,680.0
501274,680.0
501308,680.0
501342,680.0
501375,660.0
501409,680.0
501443,680.0
501477,680.0
501511,680.0
501545,680.0
501579,680.0
501613,680.0
501647,680.0
501681,680.0
501715,680.0
501749,680.0
501783,680.0
501817,680.0
501851,680.0
501886,700.0
501920,680.0
501954,680.0
501988,680.0
502022,680.0
502056,680.0
502090,680.0
502124,680.0
502125,20.0
502159,680.0
502193,680.0
502227,680.0
502261,680.0
502295,680.0
502329,680.0
502363,680.0
502364,20.0
502398,680.0
502432,680.0
502466,680.0
502500,680.0
502534,680.0
502566,640.0
502568,40.0
502603,700.0
502637,680.0
502671,680.0
502705,680.0
502739,680.0
502773,680.0
502807,680.0
502841,680.0
502875,680.0
502909,680.0
502943,680.0
502977,680.0
503011,680.0
503045,680.0
503079,680.0
503113,680.0
503147,680.0
503181,680.0
503215,680.0
503249,680.0
503283,680.0
503316,660.0
503350,680.0
503384,680.0
503418,680.0
503452,680.0
503485,660.0
503519,680.0
503553,680.0
503586,660.0
503620,680.0
503654,680.0
503688,680.0
503722,680.0
503755,660.0
503789,680.0
503823,680.0
503857,680.0
503891,680.0
503924,660.0
503958,680.0
503992,680.0
504026,680.0
504060,680.0
504094,680.0
504127,660.0
504161,680.0
504195,680.0
504229,680.0
504263,680.0
504298,700.0
504332,680.0
504365,660.0
504399,680.0
504433,680.0
504467,680.0
504502,700.0
504536,680.0
504570,680.0
504604,680.0
504638,680.0
504671,660.0
504672,20.0
504706,680.0
504740,680.0
504774,680.0
504808,680.0
504842,680.0
504876,680.0
504908,640.0
504911,60.0
504945,680.0
504979,680.0
505013,680.0
505047,680.0
505081,680.0
505115,680.0
505148,660.0
505149,20.0
505183,680.0
505217,680.0
505251,680.0
505285,680.0
505319,680.0
505350,620.0
505353,60.0
505387,680.0
505421,680.0
505455,680.0
505489,680.0
505523,680.0
505556,660.0
505557,20.0
505590,660.0
505591,20.0
505625,680.0
505658,660.0
505692,680.0
505726,680.0
505760,680.0
505792,640.0
505794,40.0
505828,680.0
505862,680.0
505896,680.0
505930,680.0
505997,1340.0
505998,20.0
506032,680.0
506065,660.0
506099,680.0
506133,680.0
506167,680.0
506201,680.0
506235,680.0
506268,660.0
506302,680.0
506336,680.0
506370,680.0
506403,660.0
506404,20.0
506438,680.0
506472,680.0
506505,660.0
506539,680.0
506573,680.0
506607,680.0
506640,660.0
506641,20.0
506675,680.0
506709,680.0
506742,660.0
506776,680.0
506810,680.0
506843,660.0
506844,20.0
506878,680.0
506911,660.0
506945,680.0
506979,680.0
507013,680.0
507031,360.0
507046,300.0
507078,640.0
507080,40.0
507114,680.0
507148,680.0
507182,680.0
507216,680.0
507250,680.0
507283,660.0
507284,20.0
507318,680.0
507352,680.0
507386,680.0
507420,680.0
507454,680.0
507485,620.0
507488,60.0
507522,680.0
507556,680.0
507590,680.0
507624,680.0
507655,620.0
507658,60.0
507692,680.0
507727,700.0
507760,660.0
507794,680.0
507828,680.0
507862,680.0
507897,700.0
507931,680.0
507965,680.0
507999,680.0
508033,680.0
508066,660.0
508100,680.0
508135,700.0
508169,680.0
508202,660.0
508236,680.0
508270,680.0
508304,680.0
508338,680.0
508372,680.0
508406,680.0
508440,680.0
508474,680.0
508508,680.0
508542,680.0
508576,680.0
