# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,Arr,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,23,74,-185,0,0
20000,1,0,0,0,0,0,0,0,0,0,0,0,39,494,16,76,48,0,0
40000,2,0,0,0,0,0,0,0,0,0,0,0,85,437,12,61,-37,0,0
60000,3,0,0,0,0,0,0,0,0,0,0,0,89,432,11,60,-57,0,0
80000,4,0,0,0,0,0,0,0,0,0,0,0,96,441,12,64,-58,0,0
100000,5,0,0,0,0,0,0,0,0,0,0,0,93,408,11,56,-43,0,0
120000,6,0,0,0,0,0,0,0,0,0,0,0,92,411,13,56,-50,0,0
140000,7,0,0,0,0,0,0,0,0,0,0,0,92,425,13,58,-46,0,0
160000,8,0,0,0,0,0,0,0,0,0,0,0,97,424,12,60,-49,0,0
180000,9,0,0,0,0,0,0,0,0,0,0,0,92,427,12,61,-47,0,0
200000,10,0,0,0,0,0,0,0,0,0,0,0,97,419,12,59,-43,0,0
220000,11,0,0,0,0,0,0,0,0,0,0,0,92,424,13,58,-52,0,0
240000,12,0,0,0,0,0,0,0,0,0,0,0,92,425,14,58,-45,0,0
260000,13,0,0,0,0,0,0,0,0,0,0,0,98,424,15,58,-49,0,0
280000,14,0,0,0,0,0,0,0,0,0,0,0,93,420,16,57,-46,0,0
300000,15,0,0,0,0,0,0,0,0,0,0,0,97,422,15,57,-47,0,0
320000,16,0,0,0,0,0,0,0,0,0,0,0,92,419,15,56,-43,0,0
340000,17,0,0,0,0,0,0,0,0,0,0,0,92,424,14,58,-46,0,0
360000,18,0,0,0,0,0,0,0,0,0,0,0,92,417,16,58,-44,0,0
380000,19,0,0,0,0,0,0,0,0,0,0,0,91,425,15,58,-42,0,0
400000,20,0,0,0,0,0,0,0,0,0,0,0,87,414,16,55,-45,0,0
420000,21,0,0,0,0,0,0,0,0,0,0,0,92,419,16,54,-48,0,0
440000,22,0,0,0,0,0,0,0,0,0,0,0,93,437,17,61,-41,0,0
460000,23,0,0,0,0,0,0,0,0,0,0,0,92,420,15,57,-43,0,0
480000,24,0,0,0,0,0,0,0,0,0,0,0,91,417,14,56,-47,0,0
500000,25,0,0,0,0,0,0,0,0,0,0,0,93,413,14,55,-50,0,0
520000,26,0,0,0,0,0,0,0,0,0,0,0,92,408,15,54,-44,0,0
540000,27,0,0,0,0,0,0,0,0,0,0,0,91,428,14,55,-42,0,0
560000,28,0,0,0,0,0,0,0,0,0,0,0,87,417,14,56,-42,0,0
580000,29,0,0,0,0,0,0,0,0,0,0,0,92,424,14,58,-46,0,0
600000,30,0,0,0,0,0,0,0,0,0,0,0,98,421,15,59,-45,0,0
