R-Peaks (Sample Index),R-R Interval (Samples)
500037,740.0
500076,780.0
500116,800.0
500156,800.0
500195,780.0
500235,800.0
500274,780.0
500314,800.0
500353,780.0
500393,800.0
500432,780.0
500471,780.0
500510,780.0
500548,760.0
500587,780.0
500625,760.0
500663,760.0
500701,760.0
500740,780.0
500778,760.0
500817,780.0
500855,760.0
500893,760.0
500932,780.0
500970,760.0
501008,760.0
501046,760.0
501084,760.0
501123,780.0
501162,780.0
501201,780.0
501240,780.0
501279,780.0
501318,780.0
501356,760.0
501395,780.0
501433,760.0
501472,780.0
501511,780.0
501549,760.0
501588,780.0
501665,1540.0
501704,780.0
501742,760.0
501781,780.0
501819,760.0
501857,760.0
501895,760.0
501933,760.0
501971,760.0
502008,740.0
502046,760.0
502084,760.0
502121,740.0
502158,740.0
502196,760.0
502233,740.0
502271,760.0
502346,1500.0
502384,760.0
502422,760.0
502460,760.0
502498,760.0
502536,760.0
502573,740.0
502611,760.0
502649,760.0
502687,760.0
502725,760.0
502763,760.0
502801,760.0
502839,760.0
502877,760.0
502915,760.0
502953,760.0
502991,760.0
503029,760.0
503067,760.0
503105,760.0
503142,740.0
503181,780.0
503219,760.0
503256,740.0
503294,760.0
503331,740.0
503369,760.0
503407,760.0
503445,760.0
503483,760.0
503520,740.0
503559,780.0
503597,760.0
503634,740.0
503672,760.0
503710,760.0
503748,760.0
503825,1540.0
503863,760.0
503901,760.0
503939,760.0
503978,780.0
504016,760.0
504054,760.0
504093,780.0
504131,760.0
504170,780.0
504208,760.0
504246,760.0
504284,760.0
504323,780.0
504361,760.0
504399,760.0
504437,760.0
504476,780.0
504514,760.0
504553,780.0
504591,760.0
504629,760.0
504668,780.0
504706,760.0
504745,780.0
504783,760.0
504822,780.0
504861,780.0
504900,780.0
504938,760.0
504977,780.0
505015,760.0
505054,780.0
505092,760.0
505131,780.0
505169,760.0
505208,780.0
505246,760.0
505285,780.0
505323,760.0
505362,780.0
505400,760.0
505439,780.0
505477,760.0
505516,780.0
505554,760.0
505593,780.0
505632,780.0
505671,780.0
505710,780.0
505748,760.0
505788,800.0
505827,780.0
505866,780.0
505905,780.0
505944,780.0
505983,780.0
506022,780.0
506060,760.0
506099,780.0
506138,780.0
506176,760.0
506215,780.0
506253,760.0
506291,760.0
506330,780.0
506369,780.0
506408,780.0
506485,1540.0
506524,780.0
506563,780.0
506601,760.0
506640,780.0
506678,760.0
506716,760.0
506755,780.0
506793,760.0
506870,1540.0
506909,780.0
506948,780.0
507025,1540.0
507063,760.0
507102,780.0
507141,780.0
507180,780.0
507218,760.0
507256,760.0
507294,760.0
507333,780.0
507371,760.0
507409,760.0
507447,760.0
507486,780.0
507525,780.0
507563,760.0
507601,760.0
507639,760.0
507677,760.0
507715,760.0
507753,760.0
507791,760.0
507829,760.0
