R-Peaks (Sample Index),R-R Interval (Samples)
1300018,820.0
1300059,820.0
1300100,820.0
1300141,820.0
1300181,800.0
1300222,820.0
1300264,840.0
1300306,840.0
1300346,800.0
1300387,820.0
1300428,820.0
1300470,840.0
1300512,840.0
1300552,800.0
1300593,820.0
1300633,800.0
1300673,800.0
1300711,760.0
1300750,780.0
1300790,800.0
1300830,800.0
1300869,780.0
1300908,780.0
1300946,760.0
1300985,780.0
1301024,780.0
1301063,780.0
1301101,760.0
1301139,760.0
1301178,780.0
1301217,780.0
1301257,800.0
1301296,780.0
1301334,760.0
1301373,780.0
1301412,780.0
1301451,780.0
1301490,780.0
1301529,780.0
1301569,800.0
1301609,800.0
1301648,780.0
1301688,800.0
1301728,800.0
1301768,800.0
1301808,800.0
1301848,800.0
1301887,780.0
1301927,800.0
1301968,820.0
1302008,800.0
1302048,800.0
1302088,800.0
1302127,780.0
1302167,800.0
1302206,780.0
1302245,780.0
1302284,780.0
1302325,820.0
1302366,820.0
1302405,780.0
1302445,800.0
1302486,820.0
1302526,800.0
1302566,800.0
1302606,800.0
1302646,800.0
1302685,780.0
1302725,800.0
1302764,780.0
1302803,780.0
1302842,780.0
1302880,760.0
1302919,780.0
1302957,760.0
1302995,760.0
1303033,760.0
1303071,760.0
1303109,760.0
1303147,760.0
1303185,760.0
1303225,800.0
1303265,800.0
1303305,800.0
1303345,800.0
1303385,800.0
1303425,800.0
1303465,800.0
1303504,780.0
1303543,780.0
1303581,760.0
1303619,760.0
1303658,780.0
1303697,780.0
1303735,760.0
1303774,780.0
1303814,800.0
1303853,780.0
1303892,780.0
1303931,780.0
1303970,780.0
1304009,780.0
1304048,780.0
1304087,780.0
1304127,800.0
1304167,800.0
1304207,800.0
1304247,800.0
1304286,780.0
1304326,800.0
1304367,820.0
1304408,820.0
1304449,820.0
1304489,800.0
1304530,820.0
1304571,820.0
1304611,800.0
1304651,800.0
1304690,780.0
1304729,780.0
1304769,800.0
1304808,780.0
1304846,760.0
1304886,800.0
1304927,820.0
1304968,820.0
1305008,800.0
1305047,780.0
1305086,780.0
1305126,800.0
1305165,780.0
1305204,780.0
1305243,780.0
1305281,760.0
1305321,800.0
1305360,780.0
1305399,780.0
1305437,760.0
1305476,780.0
1305515,780.0
1305554,780.0
1305592,760.0
1305631,780.0
1305669,760.0
1305708,780.0
1305747,780.0
1305786,780.0
1305825,780.0
1305865,800.0
1305906,820.0
1305947,820.0
1305987,800.0
1306027,800.0
1306068,820.0
1306109,820.0
1306148,780.0
1306188,800.0
1306228,800.0
1306269,820.0
1306310,820.0
1306350,800.0
1306390,800.0
1306430,800.0
1306471,820.0
1306511,800.0
1306552,820.0
1306594,840.0
1306636,840.0
1306678,840.0
1306719,820.0
1306761,840.0
1306803,840.0
1306844,820.0
1306885,820.0
1306925,800.0
1306964,780.0
1307003,780.0
1307043,800.0
1307082,780.0
1307121,780.0
1307160,780.0
1307200,800.0
1307239,780.0
1307278,780.0
1307318,800.0
1307358,800.0
1307398,800.0
1307438,800.0
1307477,780.0
1307515,760.0
1307554,780.0
1307593,780.0
1307632,780.0
1307670,760.0
1307708,760.0
1307747,780.0
1307786,780.0
1307825,780.0
1307864,780.0
1307903,780.0
1307942,780.0
1307982,800.0
1308021,780.0
1308059,760.0
1308098,780.0
1308138,800.0
1308177,780.0
1308216,780.0
1308255,780.0
1308294,780.0
1308333,780.0
1308373,800.0
1308411,760.0
1308450,780.0
1308490,800.0
1308530,800.0
1308570,800.0
1308610,800.0
1308649,780.0
1308689,800.0
1308730,820.0
1308770,800.0
1308810,800.0
1308851,820.0
1308892,820.0
1308933,820.0
1308972,780.0
1309012,800.0
1309052,800.0
1309092,800.0
1309131,780.0
1309169,760.0
1309208,780.0
1309247,780.0
1309286,780.0
1309325,780.0
1309364,780.0
1309403,780.0
1309442,780.0
1309482,800.0
1309521,780.0
1309560,780.0
1309600,800.0
1309640,800.0
1309679,780.0
1309718,780.0
1309758,800.0
1309798,800.0
1309838,800.0
1309877,780.0
1309917,800.0
1309956,780.0
1309996,800.0
1310036,800.0
1310076,800.0
1310115,780.0
1310155,800.0
1310194,780.0
1310234,800.0
1310273,780.0
1310312,780.0
1310351,780.0
1310391,800.0
1310431,800.0
1310470,780.0
1310510,800.0
1310551,820.0
1310593,840.0
1310633,800.0
1310674,820.0
1310715,820.0
1310756,820.0
1310797,820.0
1310837,800.0
1310877,800.0
1310917,800.0
1310957,800.0
1310997,800.0
1311036,780.0
1311075,780.0
1311113,760.0
1311153,800.0
1311192,780.0
1311230,760.0
1311270,800.0
1311311,820.0
1311353,840.0
1311394,820.0
1311436,840.0
1311480,880.0
1311522,840.0
1311564,840.0
1311605,820.0
1311645,800.0
1311685,800.0
1311726,820.0
1311765,780.0
1311804,780.0
1311844,800.0
1311885,820.0
1311926,820.0
1311965,780.0
1312005,800.0
1312046,820.0
1312088,840.0
1312129,820.0
1312169,800.0
1312209,800.0
1312249,800.0
1312290,820.0
1312330,800.0
1312369,780.0
1312409,800.0
1312449,800.0
1312488,780.0
1312527,780.0
1312566,780.0
1312605,780.0
1312644,780.0
1312683,780.0
1312722,780.0
1312760,760.0
1312798,760.0
1312837,780.0
1312876,780.0
1312914,760.0
1312953,780.0
1312992,780.0
1313032,800.0
1313071,780.0
1313111,800.0
1313151,800.0
1313191,800.0
1313231,800.0
1313271,800.0
1313311,800.0
1313351,800.0
1313391,800.0
1313431,800.0
1313469,760.0
1313508,780.0
1313548,800.0
1313588,800.0
1313627,780.0
1313666,780.0
1313705,780.0
1313744,780.0
1313783,780.0
1313822,780.0
1313860,760.0
1313899,780.0
1313941,840.0
1313982,820.0
1314023,820.0
1314064,820.0
1314105,820.0
1314147,840.0
1314188,820.0
1314228,800.0
1314268,800.0
1314308,800.0
1314348,800.0
1314388,800.0
1314428,800.0
1314468,800.0
1314510,840.0
1314551,820.0
1314592,820.0
1314633,820.0
1314673,800.0
1314714,820.0
1314754,800.0
1314793,780.0
1314832,780.0
1314872,800.0
1314912,800.0
1314951,780.0
1314990,780.0
1315029,780.0
1315069,800.0
1315109,800.0
1315148,780.0
1315187,780.0
1315226,780.0
1315265,780.0
1315305,800.0
1315344,780.0
1315382,760.0
1315421,780.0
1315461,800.0
1315501,800.0
1315540,780.0
1315579,780.0
1315619,800.0
1315660,820.0
1315701,820.0
1315742,820.0
1315784,840.0
1315827,860.0
1315869,840.0
1315911,840.0
1315952,820.0
1315993,820.0
1316033,800.0
1316073,800.0
1316112,780.0
1316151,780.0
1316190,780.0
1316229,780.0
1316268,780.0
1316307,780.0
1316345,760.0
1316385,800.0
1316424,780.0
1316462,760.0
1316501,780.0
1316541,800.0
1316583,840.0
1316625,840.0
1316665,800.0
1316705,800.0
1316746,820.0
1316787,820.0
1316827,800.0
1316867,800.0
1316907,800.0
1316948,820.0
1316989,820.0
1317029,800.0
1317069,800.0
1317110,820.0
1317151,820.0
1317191,800.0
1317231,800.0
