R-Peaks (Sample Index),R-R Interval (Samples)
2200023,920.0
2200072,980.0
2200122,1000.0
2200174,1040.0
2200226,1040.0
2200277,1020.0
2200329,1040.0
2200383,1080.0
2200435,1040.0
2200485,1000.0
2200534,980.0
2200585,1020.0
2200635,1000.0
2200685,1000.0
2200735,1000.0
2200783,960.0
2200834,1020.0
2200886,1040.0
2200937,1020.0
2200987,1000.0
2201036,980.0
2201087,1020.0
2201139,1040.0
2201191,1040.0
2201241,1000.0
2201290,980.0
2201338,960.0
2201388,1000.0
2201440,1040.0
2201492,1040.0
2201542,1000.0
2201591,980.0
2201641,1000.0
2201692,1020.0
2201743,1020.0
2201794,1020.0
2201843,980.0
2201893,1000.0
2201944,1020.0
2201994,1000.0
2202044,1000.0
2202092,960.0
2202140,960.0
2202190,1000.0
2202240,1000.0
2202290,1000.0
2202340,1000.0
2202389,980.0
2202439,1000.0
2202491,1040.0
2202544,1060.0
2202595,1020.0
2202644,980.0
2202696,1040.0
2202748,1040.0
2202801,1060.0
2202852,1020.0
2202902,1000.0
2202953,1020.0
2203005,1040.0
2203056,1020.0
2203105,980.0
2203154,980.0
2203204,1000.0
2203256,1040.0
2203308,1040.0
2203360,1040.0
2203410,1000.0
2203463,1060.0
2203516,1060.0
2203569,1060.0
2203620,1020.0
2203669,980.0
2203720,1020.0
2203772,1040.0
2203823,1020.0
2203874,1020.0
2203922,960.0
2203972,1000.0
2204023,1020.0
2204074,1020.0
2204124,1000.0
2204173,980.0
2204202,580.0
2204258,1120.0
2204311,1060.0
2204363,1040.0
2204411,960.0
2204455,880.0
2204498,860.0
2204540,840.0
2204580,800.0
2204620,800.0
2204661,820.0
2204701,800.0
2204740,780.0
2204779,780.0
2204817,760.0
2204855,760.0
2204892,740.0
2204928,720.0
2204965,740.0
2205002,740.0
2205039,740.0
2205077,760.0
2205113,720.0
2205150,740.0
2205186,720.0
2205222,720.0
2205258,720.0
2205294,720.0
2205329,700.0
2205364,700.0
2205399,700.0
2205433,680.0
2205468,700.0
2205503,700.0
2205537,680.0
2205572,700.0
2205607,700.0
2205642,700.0
2205677,700.0
2205711,680.0
2205745,680.0
2205779,680.0
2205812,660.0
2205846,680.0
2205880,680.0
2205914,680.0
2205948,680.0
2205982,680.0
2206016,680.0
2206051,700.0
2206086,700.0
2206123,740.0
2206159,720.0
2206195,720.0
2206232,740.0
2206270,760.0
2206308,760.0
2206345,740.0
2206382,740.0
2206418,720.0
2206455,740.0
2206491,720.0
2206527,720.0
2206563,720.0
2206600,740.0
2206639,780.0
2206676,740.0
2206707,620.0
