R-Peaks (Sample Index),R-R Interval (Samples)
2300025,200.0
2300072,940.0
2300118,920.0
2300164,920.0
2300209,900.0
2300253,880.0
2300297,880.0
2300339,840.0
2300382,860.0
2300423,820.0
2300463,800.0
2300502,780.0
2300542,800.0
2300583,820.0
2300625,840.0
2300667,840.0
2300711,880.0
2300756,900.0
2300800,880.0
2300845,900.0
2300890,900.0
2300936,920.0
2300982,920.0
2301026,880.0
2301071,900.0
2301117,920.0
2301163,920.0
2301208,900.0
2301253,900.0
2301299,920.0
2301345,920.0
2301392,940.0
2301438,920.0
2301483,900.0
2301528,900.0
2301572,880.0
2301615,860.0
2301659,880.0
2301703,880.0
2301746,860.0
2301789,860.0
2301829,800.0
2301871,840.0
2301898,540.0
2301948,1000.0
2301995,940.0
2302039,880.0
2302082,860.0
2302124,840.0
2302166,840.0
2302206,800.0
2302245,780.0
2302285,800.0
2302325,800.0
2302363,760.0
2302401,760.0
2302439,760.0
2302479,800.0
2302520,820.0
2302561,820.0
2302604,860.0
2302648,880.0
2302693,900.0
2302737,880.0
2302781,880.0
2302825,880.0
2302869,880.0
2302914,900.0
2302958,880.0
2303003,900.0
2303049,920.0
2303095,920.0
2303141,920.0
2303187,920.0
2303234,940.0
2303281,940.0
2303327,920.0
2303373,920.0
2303419,920.0
2303465,920.0
2303511,920.0
2303558,940.0
2303603,900.0
2303649,920.0
2303695,920.0
2303741,920.0
2303786,900.0
2303833,940.0
2303879,920.0
2303925,920.0
2303971,920.0
2304017,920.0
2304063,920.0
2304109,920.0
2304156,940.0
2304201,900.0
2304248,940.0
2304294,920.0
2304340,920.0
2304384,880.0
2304428,880.0
2304472,880.0
2304516,880.0
2304559,860.0
2304601,840.0
2304645,880.0
2304688,860.0
2304731,860.0
2304776,900.0
2304822,920.0
2304868,920.0
2304914,920.0
2304960,920.0
2305006,920.0
2305051,900.0
2305098,940.0
2305144,920.0
2305189,900.0
2305234,900.0
2305278,880.0
2305323,900.0
2305365,840.0
2305409,880.0
2305452,860.0
2305496,880.0
2305540,880.0
2305583,860.0
2305627,880.0
2305670,860.0
2305714,880.0
2305759,900.0
2305806,940.0
2305852,920.0
2305897,900.0
2305943,920.0
2305989,920.0
2306035,920.0
2306080,900.0
2306124,880.0
2306169,900.0
2306216,940.0
2306263,940.0
2306309,920.0
2306355,920.0
2306399,880.0
2306444,900.0
2306489,900.0
2306532,860.0
2306575,860.0
2306620,900.0
2306665,900.0
2306710,900.0
2306755,900.0
2306799,880.0
2306845,920.0
2306889,880.0
2306934,900.0
2306980,920.0
2307027,940.0
2307074,940.0
2307120,920.0
2307166,920.0
2307212,920.0
2307259,940.0
2307304,900.0
2307349,900.0
2307395,920.0
2307440,900.0
2307486,920.0
2307532,920.0
2307577,900.0
2307623,920.0
2307669,920.0
2307714,900.0
2307759,900.0
2307805,920.0
2307852,940.0
2307898,920.0
2307943,900.0
2307989,920.0
2308035,920.0
2308081,920.0
2308127,920.0
2308172,900.0
2308217,900.0
2308262,900.0
2308308,920.0
2308352,880.0
2308397,900.0
2308442,900.0
2308488,920.0
2308534,920.0
2308579,900.0
2308625,920.0
2308671,920.0
2308717,920.0
2308763,920.0
2308809,920.0
2308855,920.0
2308901,920.0
2308948,940.0
2308995,940.0
2309041,920.0
2309088,940.0
2309135,940.0
2309182,940.0
2309228,920.0
2309274,920.0
2309320,920.0
2309366,920.0
2309413,940.0
2309459,920.0
2309505,920.0
2309551,920.0
2309598,940.0
2309644,920.0
2309690,920.0
2309736,920.0
2309782,920.0
2309829,940.0
2309875,920.0
2309920,900.0
2309965,900.0
2310009,880.0
2310053,880.0
2310094,820.0
2310137,860.0
2310179,840.0
2310221,840.0
2310263,840.0
2310304,820.0
2310346,840.0
2310390,880.0
2310433,860.0
2310476,860.0
2310522,920.0
2310568,920.0
2310614,920.0
2310660,920.0
2310706,920.0
2310752,920.0
2310798,920.0
2310844,920.0
2310889,900.0
2310934,900.0
2310980,920.0
2311025,900.0
2311071,920.0
2311117,920.0
2311162,900.0
2311209,940.0
2311256,940.0
2311303,940.0
2311349,920.0
2311396,940.0
2311442,920.0
2311490,960.0
2311536,920.0
2311582,920.0
2311629,940.0
2311676,940.0
2311724,960.0
2311771,940.0
2311817,920.0
2311863,920.0
2311910,940.0
2311957,940.0
2312003,920.0
2312049,920.0
2312095,920.0
2312143,960.0
2312190,940.0
2312237,940.0
2312284,940.0
2312331,940.0
2312378,940.0
2312405,540.0
2312460,1100.0
2312484,480.0
2312537,1060.0
2312580,860.0
2312620,800.0
2312661,820.0
2312700,780.0
2312740,800.0
2312783,860.0
2312826,860.0
2312870,880.0
2312915,900.0
2312961,920.0
2313007,920.0
2313051,880.0
2313095,880.0
2313140,900.0
2313185,900.0
2313230,900.0
2313274,880.0
2313319,900.0
2313365,920.0
2313412,940.0
2313457,900.0
2313502,900.0
2313548,920.0
2313594,920.0
2313639,900.0
2313683,880.0
2313725,840.0
2313767,840.0
2313808,820.0
2313849,820.0
2313891,840.0
2313931,800.0
2313972,820.0
2314012,800.0
2314052,800.0
2314091,780.0
2314131,800.0
2314170,780.0
2314209,780.0
2314247,760.0
2314286,780.0
2314317,620.0
2314362,900.0
2314400,760.0
2314439,780.0
2314477,760.0
2314514,740.0
2314551,740.0
2314588,740.0
2314626,760.0
2314665,780.0
2314703,760.0
2314742,780.0
2314783,820.0
2314823,800.0
2314864,820.0
2314904,800.0
2314944,800.0
2314985,820.0
2315024,780.0
2315063,780.0
2315103,800.0
2315143,800.0
2315184,820.0
2315225,820.0
2315266,820.0
2315307,820.0
2315351,880.0
2315394,860.0
2315436,840.0
2315478,840.0
2315521,860.0
2315565,880.0
2315608,860.0
2315650,840.0
2315694,880.0
2315738,880.0
2315782,880.0
2315825,860.0
2315869,880.0
2315912,860.0
2315955,860.0
2315997,840.0
2316038,820.0
2316081,860.0
2316124,860.0
2316167,860.0
2316210,860.0
2316253,860.0
2316298,900.0
2316343,900.0
2316388,900.0
2316432,880.0
2316476,880.0
2316520,880.0
2316565,900.0
2316609,880.0
2316653,880.0
2316697,880.0
2316742,900.0
2316787,900.0
2316831,880.0
2316875,880.0
2316919,880.0
2316963,880.0
2317006,860.0
2317050,880.0
2317093,860.0
2317136,860.0
2317179,860.0
2317222,860.0
2317265,860.0
2317308,860.0
2317352,880.0
2317396,880.0
2317439,860.0
2317482,860.0
2317511,580.0
2317560,980.0
2317605,900.0
2317648,860.0
2317691,860.0
2317735,880.0
2317779,880.0
2317822,860.0
2317866,880.0
2317909,860.0
2317953,880.0
2317996,860.0
2318023,540.0
2318074,1020.0
2318119,900.0
