R-Peaks (Sample Index),R-R Interval (Samples)
1600017,580.0
1600043,520.0
1600068,500.0
1600093,500.0
1600119,520.0
1600170,1020.0
1600171,20.0
1600197,520.0
1600223,520.0
1600249,520.0
1600274,500.0
1600300,520.0
1600326,520.0
1600352,520.0
1600379,540.0
1600406,540.0
1600433,540.0
1600459,520.0
1600485,520.0
1600511,520.0
1600537,520.0
1600564,540.0
1600592,560.0
1600620,560.0
1600649,580.0
1600677,560.0
1600705,560.0
1600733,560.0
1600761,560.0
1600790,580.0
1600820,600.0
1600851,620.0
1600881,600.0
1600912,620.0
1600942,600.0
1600973,620.0
1601004,620.0
1601034,600.0
1601065,620.0
1601094,580.0
1601123,580.0
1601151,560.0
1601178,540.0
1601206,560.0
1601233,540.0
1601259,520.0
1601285,520.0
1601311,520.0
1601337,520.0
1601364,540.0
1601390,520.0
1601417,540.0
1601443,520.0
1601470,540.0
1601496,520.0
1601522,520.0
1601549,540.0
1601575,520.0
1601602,540.0
1601628,520.0
1601654,520.0
1601680,520.0
1601706,520.0
1601731,500.0
1601757,520.0
1601783,520.0
1601809,520.0
1601835,520.0
1601861,520.0
1601886,500.0
1601912,520.0
1601937,500.0
1601963,520.0
1601989,520.0
1602016,540.0
1602042,520.0
1602069,540.0
1602096,540.0
1602122,520.0
1602148,520.0
1602175,540.0
1602203,560.0
1602231,560.0
1602259,560.0
1602287,560.0
1602315,560.0
1602342,540.0
1602368,520.0
1602395,540.0
1602423,560.0
1602450,540.0
1602479,580.0
1602507,560.0
1602536,580.0
1602565,580.0
1602592,540.0
1602620,560.0
1602648,560.0
1602677,580.0
1602705,560.0
1602734,580.0
1602763,580.0
1602791,560.0
1602818,540.0
1602844,520.0
1602871,540.0
1602898,540.0
1602926,560.0
1602954,560.0
1602982,560.0
1603010,560.0
1603037,540.0
1603064,540.0
1603092,560.0
1603120,560.0
1603149,580.0
1603178,580.0
1603208,600.0
1603237,580.0
1603268,620.0
1603298,600.0
1603328,600.0
1603356,560.0
1603383,540.0
1603410,540.0
1603436,520.0
1603462,520.0
1603489,540.0
1603515,520.0
1603540,500.0
1603566,520.0
1603591,500.0
1603617,520.0
1603644,540.0
1603670,520.0
1603697,540.0
1603724,540.0
1603750,520.0
1603777,540.0
1603804,540.0
1603831,540.0
1603859,560.0
1603887,560.0
1603915,560.0
1603944,580.0
1603973,580.0
1604001,560.0
1604029,560.0
1604058,580.0
1604086,560.0
1604114,560.0
1604143,580.0
1604172,580.0
1604202,600.0
1604232,600.0
1604264,640.0
1604293,580.0
1604320,540.0
1604348,560.0
1604374,520.0
1604401,540.0
1604427,520.0
1604453,520.0
1604478,500.0
1604503,500.0
1604528,500.0
1604554,520.0
1604579,500.0
1604605,520.0
1604632,540.0
1604658,520.0
1604684,520.0
1604710,520.0
1604735,500.0
1604762,540.0
1604789,540.0
1604816,540.0
1604844,560.0
1604871,540.0
1604900,580.0
1604927,540.0
1604954,540.0
1604980,520.0
1605006,520.0
1605032,520.0
1605058,520.0
1605084,520.0
1605111,540.0
1605136,500.0
1605162,520.0
1605189,540.0
1605216,540.0
1605244,560.0
1605272,560.0
1605301,580.0
1605331,600.0
1605360,580.0
1605388,560.0
1605415,540.0
1605441,520.0
1605469,560.0
1605496,540.0
1605524,560.0
1605552,560.0
1605579,540.0
1605606,540.0
1605634,560.0
1605661,540.0
1605689,560.0
1605719,600.0
1605748,580.0
1605778,600.0
1605808,600.0
1605839,620.0
1605868,580.0
1605896,560.0
1605924,560.0
1605951,540.0
1605978,540.0
1606005,540.0
1606032,540.0
1606058,520.0
1606084,520.0
1606111,540.0
1606138,540.0
1606165,540.0
1606193,560.0
1606221,560.0
1606249,560.0
1606277,560.0
1606306,580.0
1606335,580.0
1606364,580.0
1606394,600.0
1606423,580.0
1606452,580.0
1606482,600.0
1606513,620.0
1606541,560.0
1606569,560.0
1606595,520.0
1606622,540.0
1606648,520.0
1606674,520.0
1606699,500.0
1606725,520.0
1606750,500.0
1606775,500.0
1606800,500.0
1606825,500.0
1606850,500.0
1606876,520.0
1606901,500.0
1606927,520.0
1606952,500.0
1606977,500.0
1607002,500.0
1607028,520.0
1607054,520.0
1607081,540.0
1607107,520.0
1607134,540.0
1607160,520.0
1607186,520.0
1607211,500.0
1607237,520.0
1607263,520.0
1607290,540.0
1607316,520.0
1607343,540.0
1607369,520.0
1607396,540.0
1607424,560.0
1607452,560.0
1607480,560.0
1607509,580.0
1607538,580.0
1607567,580.0
1607596,580.0
1607626,600.0
1607656,600.0
1607685,580.0
1607715,600.0
1607746,620.0
1607776,600.0
1607807,620.0
1607838,620.0
1607869,620.0
1607900,620.0
1607931,620.0
1607963,640.0
1607993,600.0
1608024,620.0
1608054,600.0
1608082,560.0
1608108,520.0
1608134,520.0
1608160,520.0
1608185,500.0
1608210,500.0
1608235,500.0
1608260,500.0
1608286,520.0
1608311,500.0
1608337,520.0
1608361,480.0
1608386,500.0
1608412,520.0
1608437,500.0
1608462,500.0
1608488,520.0
1608513,500.0
1608538,500.0
1608563,500.0
1608588,500.0
1608613,500.0
1608638,500.0
1608664,520.0
1608690,520.0
1608716,520.0
1608742,520.0
1608767,500.0
1608793,520.0
1608818,500.0
1608844,520.0
1608871,540.0
1608898,540.0
1608925,540.0
1608953,560.0
1608981,560.0
1609010,580.0
1609038,560.0
1609067,580.0
1609096,580.0
1609125,580.0
1609154,580.0
1609184,600.0
1609213,580.0
1609243,600.0
1609272,580.0
1609302,600.0
1609332,600.0
1609363,620.0
1609394,620.0
1609424,600.0
1609454,600.0
1609484,600.0
1609513,580.0
1609542,580.0
1609569,540.0
1609596,540.0
1609622,520.0
1609648,520.0
1609675,540.0
1609701,520.0
1609727,520.0
1609753,520.0
1609778,500.0
1609804,520.0
1609830,520.0
1609856,520.0
1609882,520.0
1609908,520.0
1609934,520.0
1609960,520.0
1609985,500.0
1610010,500.0
1610035,500.0
1610061,520.0
1610086,500.0
1610112,520.0
1610137,500.0
1610162,500.0
1610187,500.0
1610211,480.0
1610236,500.0
1610260,480.0
1610285,500.0
1610309,480.0
1610333,480.0
1610358,500.0
1610382,480.0
1610406,480.0
1610431,500.0
1610455,480.0
1610479,480.0
1610504,500.0
1610529,500.0
1610578,980.0
1610579,20.0
1610603,480.0
1610628,500.0
1610653,500.0
1610678,500.0
1610704,520.0
1610730,520.0
1610756,520.0
1610782,520.0
1610808,520.0
1610834,520.0
1610860,520.0
1610886,520.0
1610913,540.0
1610939,520.0
1610966,540.0
1610993,540.0
1611020,540.0
1611047,540.0
1611073,520.0
1611100,540.0
1611127,540.0
1611182,1100.0
1611183,20.0
1611211,560.0
1611239,560.0
1611267,560.0
1611296,580.0
1611324,560.0
1611353,580.0
1611381,560.0
1611410,580.0
1611438,560.0
1611467,580.0
1611496,580.0
1611524,560.0
1611554,600.0
1611583,580.0
1611612,580.0
1611641,580.0
1611670,580.0
1611700,600.0
1611729,580.0
1611759,600.0
1611789,600.0
1611820,620.0
1611849,580.0
1611879,600.0
1611908,580.0
1611937,580.0
1611965,560.0
1611992,540.0
1612019,540.0
1612045,520.0
1612071,520.0
1612099,560.0
1612125,520.0
1612152,540.0
1612179,540.0
1612205,520.0
1612230,500.0
1612255,500.0
1612281,520.0
1612332,1020.0
1612333,20.0
1612359,520.0
1612385,520.0
1612411,520.0
1612436,500.0
1612461,500.0
1612487,520.0
1612512,500.0
1612538,520.0
1612565,540.0
1612591,520.0
1612617,520.0
1612643,520.0
1612668,500.0
1612693,500.0
1612719,520.0
1612745,520.0
1612771,520.0
1612798,540.0
1612825,540.0
1612852,540.0
1612878,520.0
1612904,520.0
1612931,540.0
1612958,540.0
1612986,560.0
1613013,540.0
1613041,560.0
1613069,560.0
1613095,520.0
1613122,540.0
1613149,540.0
1613177,560.0
1613205,560.0
1613234,580.0
1613263,580.0
1613292,580.0
1613320,560.0
1613348,560.0
1613376,560.0
1613431,1100.0
1613459,560.0
1613460,20.0
1613488,560.0
1613517,580.0
1613545,560.0
1613575,600.0
1613604,580.0
1613633,580.0
1613663,600.0
1613692,580.0
1613722,600.0
1613751,580.0
1613781,600.0
1613811,600.0
1613842,620.0
1613872,600.0
1613903,620.0
1613934,620.0
1613964,600.0
1613993,580.0
1614023,600.0
1614052,580.0
1614081,580.0
1614108,540.0
1614134,520.0
1614160,520.0
1614186,520.0
1614212,520.0
1614239,540.0
1614265,520.0
1614292,540.0
1614319,540.0
1614345,520.0
1614373,560.0
1614399,520.0
1614426,540.0
1614453,540.0
1614479,520.0
1614505,520.0
1614530,500.0
1614556,520.0
1614582,520.0
1614608,520.0
1614633,500.0
1614659,520.0
1614684,500.0
1614709,500.0
1614734,500.0
1614758,480.0
1614783,500.0
1614807,480.0
1614832,500.0
1614856,480.0
1614881,500.0
1614905,480.0
1614929,480.0
1614954,500.0
1614979,500.0
1615004,500.0
1615029,500.0
1615054,500.0
1615078,480.0
1615103,500.0
1615128,500.0
1615153,500.0
1615178,500.0
1615204,520.0
1615230,520.0
1615256,520.0
1615282,520.0
1615307,500.0
1615332,500.0
1615357,500.0
1615383,520.0
1615409,520.0
1615436,540.0
1615464,560.0
1615492,560.0
1615519,540.0
1615547,560.0
1615576,580.0
1615604,560.0
1615632,560.0
1615660,560.0
1615688,560.0
1615716,560.0
1615745,580.0
1615773,560.0
1615801,560.0
1615828,540.0
1615855,540.0
1615883,560.0
1615910,540.0
1615938,560.0
1615965,540.0
1615991,520.0
1616017,520.0
1616043,520.0
