R-Peaks (Sample Index),R-R Interval (Samples)
2300017,520.0
2300036,380.0
2300065,580.0
2300093,560.0
2300121,560.0
2300148,540.0
2300176,560.0
2300203,540.0
2300229,520.0
2300256,540.0
2300283,540.0
2300309,520.0
2300335,520.0
2300361,520.0
2300387,520.0
2300414,540.0
2300440,520.0
2300467,540.0
2300493,520.0
2300520,540.0
2300546,520.0
2300572,520.0
2300598,520.0
2300625,540.0
2300651,520.0
2300678,540.0
2300704,520.0
2300730,520.0
2300756,520.0
2300782,520.0
2300807,500.0
2300833,520.0
2300859,520.0
2300885,520.0
2300911,520.0
2300937,520.0
2300963,520.0
2300989,520.0
2301015,520.0
2301042,540.0
2301069,540.0
2301097,560.0
2301125,560.0
2301153,560.0
2301181,560.0
2301209,560.0
2301236,540.0
2301264,560.0
2301291,540.0
2301318,540.0
2301345,540.0
2301371,520.0
2301397,520.0
2301423,520.0
2301449,520.0
2301475,520.0
2301501,520.0
2301527,520.0
2301552,500.0
2301578,520.0
2301604,520.0
2301630,520.0
2301656,520.0
2301681,500.0
2301707,520.0
2301732,500.0
2301758,520.0
2301784,520.0
2301809,500.0
2301835,520.0
2301860,500.0
2301886,520.0
2301912,520.0
2301937,500.0
2301963,520.0
2301988,500.0
2302014,520.0
2302039,500.0
2302064,500.0
2302089,500.0
2302114,500.0
2302139,500.0
2302164,500.0
2302190,520.0
2302215,500.0
2302240,500.0
2302265,500.0
2302290,500.0
2302314,480.0
2302339,500.0
2302364,500.0
2302388,480.0
2302413,500.0
2302438,500.0
2302462,480.0
2302487,500.0
2302511,480.0
2302536,500.0
2302561,500.0
2302586,500.0
2302611,500.0
2302636,500.0
2302661,500.0
2302686,500.0
2302711,500.0
2302736,500.0
2302761,500.0
2302786,500.0
2302812,520.0
2302838,520.0
2302864,520.0
2302890,520.0
2302915,500.0
2302940,500.0
2302966,520.0
2302991,500.0
2303017,520.0
2303043,520.0
2303069,520.0
2303095,520.0
2303121,520.0
2303147,520.0
2303172,500.0
2303198,520.0
2303224,520.0
2303250,520.0
2303276,520.0
2303303,540.0
2303329,520.0
2303355,520.0
2303382,540.0
2303408,520.0
2303435,540.0
2303463,560.0
2303490,540.0
2303517,540.0
2303544,540.0
2303571,540.0
2303598,540.0
2303624,520.0
2303651,540.0
2303677,520.0
2303704,540.0
2303731,540.0
2303757,520.0
2303783,520.0
2303809,520.0
2303835,520.0
2303861,520.0
2303888,540.0
2303914,520.0
2303942,560.0
2303969,540.0
2303996,540.0
2304022,520.0
2304049,540.0
2304076,540.0
2304103,540.0
2304130,540.0
2304157,540.0
2304185,560.0
2304212,540.0
2304239,540.0
2304266,540.0
2304293,540.0
2304321,560.0
2304348,540.0
2304376,560.0
2304404,560.0
2304432,560.0
2304459,540.0
2304486,540.0
2304514,560.0
2304542,560.0
2304570,560.0
2304598,560.0
2304626,560.0
2304654,560.0
2304681,540.0
2304709,560.0
2304736,540.0
2304764,560.0
2304793,580.0
2304821,560.0
2304850,580.0
2304878,560.0
2304906,560.0
2304933,540.0
2304960,540.0
2304987,540.0
2305013,520.0
2305040,540.0
2305066,520.0
2305092,520.0
2305118,520.0
2305144,520.0
2305170,520.0
2305196,520.0
2305222,520.0
2305249,540.0
2305275,520.0
2305301,520.0
2305327,520.0
2305353,520.0
2305379,520.0
2305406,540.0
2305433,540.0
2305460,540.0
2305487,540.0
2305514,540.0
2305541,540.0
2305568,540.0
2305594,520.0
2305621,540.0
2305648,540.0
2305675,540.0
2305702,540.0
2305729,540.0
2305755,520.0
2305782,540.0
2305809,540.0
2305836,540.0
2305863,540.0
2305890,540.0
2305918,560.0
2305945,540.0
2305973,560.0
2306000,540.0
2306028,560.0
2306055,540.0
2306084,580.0
2306112,560.0
2306140,560.0
2306169,580.0
2306197,560.0
2306225,560.0
2306252,540.0
2306279,540.0
2306305,520.0
2306332,540.0
2306358,520.0
2306385,540.0
2306411,520.0
2306437,520.0
2306462,500.0
2306488,520.0
2306514,520.0
2306540,520.0
2306566,520.0
2306592,520.0
2306618,520.0
2306644,520.0
2306669,500.0
2306695,520.0
2306722,540.0
2306748,520.0
2306775,540.0
2306801,520.0
2306828,540.0
2306854,520.0
2306880,520.0
2306907,540.0
2306934,540.0
2306961,540.0
2306988,540.0
2307015,540.0
2307043,560.0
2307070,540.0
2307098,560.0
2307124,520.0
2307151,540.0
2307179,560.0
2307206,540.0
2307233,540.0
2307260,540.0
2307287,540.0
2307313,520.0
2307339,520.0
2307366,540.0
2307392,520.0
2307418,520.0
2307445,540.0
2307471,520.0
2307497,520.0
2307523,520.0
2307550,540.0
2307576,520.0
2307603,540.0
2307630,540.0
2307656,520.0
2307683,540.0
2307710,540.0
2307737,540.0
2307763,520.0
2307790,540.0
2307816,520.0
2307842,520.0
2307869,540.0
2307896,540.0
2307922,520.0
2307949,540.0
2307975,520.0
2308001,520.0
2308052,1020.0
2308053,20.0
2308079,520.0
2308105,520.0
2308132,540.0
2308158,520.0
2308184,520.0
2308210,520.0
2308237,540.0
2308263,520.0
2308290,540.0
2308316,520.0
2308343,540.0
2308370,540.0
2308397,540.0
2308424,540.0
2308451,540.0
2308477,520.0
2308503,520.0
2308530,540.0
2308556,520.0
2308583,540.0
2308609,520.0
2308636,540.0
2308662,520.0
2308689,540.0
2308715,520.0
2308741,520.0
2308768,540.0
2308795,540.0
2308822,540.0
2308849,540.0
2308877,560.0
2308904,540.0
2308931,540.0
2308957,520.0
2308984,540.0
2309012,560.0
2309039,540.0
2309067,560.0
2309095,560.0
2309123,560.0
2309151,560.0
2309179,560.0
2309207,560.0
2309234,540.0
2309261,540.0
2309287,520.0
2309313,520.0
2309339,520.0
2309365,520.0
2309391,520.0
2309417,520.0
2309443,520.0
2309468,500.0
2309494,520.0
2309520,520.0
2309546,520.0
2309571,500.0
2309597,520.0
2309623,520.0
2309649,520.0
2309675,520.0
2309701,520.0
2309727,520.0
2309753,520.0
2309779,520.0
2309805,520.0
2309831,520.0
2309857,520.0
2309882,500.0
2309908,520.0
2309933,500.0
2309959,520.0
2309984,500.0
2310010,520.0
