R-Peaks (Sample Index),R-R Interval (Samples)
1100034,680.0
1100069,700.0
1100103,680.0
1100137,680.0
1100172,700.0
1100206,680.0
1100241,700.0
1100275,680.0
1100309,680.0
1100344,700.0
1100378,680.0
1100413,700.0
1100447,680.0
1100482,700.0
1100517,700.0
1100551,680.0
1100586,700.0
1100621,700.0
1100656,700.0
1100691,700.0
1100726,700.0
1100760,680.0
1100795,700.0
1100830,700.0
1100865,700.0
1100899,680.0
1100934,700.0
1100969,700.0
1101003,680.0
1101038,700.0
1101073,700.0
1101108,700.0
1101142,680.0
1101177,700.0
1101212,700.0
1101246,680.0
1101281,700.0
1101316,700.0
1101350,680.0
1101385,700.0
1101419,680.0
1101454,700.0
1101488,680.0
1101523,700.0
1101557,680.0
1101592,700.0
1101626,680.0
1101661,700.0
1101695,680.0
1101729,680.0
1101764,700.0
1101798,680.0
1101833,700.0
1101867,680.0
1101902,700.0
1101936,680.0
1101970,680.0
1102005,700.0
1102039,680.0
1102073,680.0
1102107,680.0
1102142,700.0
1102176,680.0
1102211,700.0
1102245,680.0
1102279,680.0
1102313,680.0
1102348,700.0
1102382,680.0
1102416,680.0
1102450,680.0
1102484,680.0
1102518,680.0
1102552,680.0
1102586,680.0
1102620,680.0
1102654,680.0
1102688,680.0
1102722,680.0
1102756,680.0
1102790,680.0
1102825,700.0
1102859,680.0
1102893,680.0
1102927,680.0
1102962,700.0
1102996,680.0
1103030,680.0
1103065,700.0
1103099,680.0
1103134,700.0
1103168,680.0
1103203,700.0
1103237,680.0
1103272,700.0
1103306,680.0
1103341,700.0
1103375,680.0
1103410,700.0
1103444,680.0
1103479,700.0
1103513,680.0
1103548,700.0
1103582,680.0
1103617,700.0
1103652,700.0
1103687,700.0
1103721,680.0
1103756,700.0
1103791,700.0
1103825,680.0
1103860,700.0
1103895,700.0
1103929,680.0
1103964,700.0
1103998,680.0
1104033,700.0
1104068,700.0
1104102,680.0
1104137,700.0
1104171,680.0
1104205,680.0
1104240,700.0
1104274,680.0
1104309,700.0
1104343,680.0
1104377,680.0
1104412,700.0
1104446,680.0
1104480,680.0
1104514,680.0
1104549,700.0
1104583,680.0
1104617,680.0
1104652,700.0
1104687,700.0
1104721,680.0
1104756,700.0
1104790,680.0
1104824,680.0
1104859,700.0
1104893,680.0
1104928,700.0
1104962,680.0
1104997,700.0
1105031,680.0
1105066,700.0
1105100,680.0
1105135,700.0
1105169,680.0
1105204,700.0
1105238,680.0
1105273,700.0
1105307,680.0
1105342,700.0
1105376,680.0
1105410,680.0
1105445,700.0
1105479,680.0
1105514,700.0
1105548,680.0
1105583,700.0
1105617,680.0
1105652,700.0
1105686,680.0
1105721,700.0
1105756,700.0
1105790,680.0
1105825,700.0
1105860,700.0
1105895,700.0
1105930,700.0
1105965,700.0
1106000,700.0
1106035,700.0
1106069,680.0
1106104,700.0
1106139,700.0
1106174,700.0
1106209,700.0
1106243,680.0
1106278,700.0
1106313,700.0
1106348,700.0
1106383,700.0
1106417,680.0
1106452,700.0
1106487,700.0
1106522,700.0
1106556,680.0
1106591,700.0
1106627,720.0
1106662,700.0
1106697,700.0
1106731,680.0
1106766,700.0
1106801,700.0
1106836,700.0
1106870,680.0
1106905,700.0
1106940,700.0
1106975,700.0
1107009,680.0
1107044,700.0
1107078,680.0
1107113,700.0
1107147,680.0
1107181,680.0
1107215,680.0
1107249,680.0
1107284,700.0
1107318,680.0
1107352,680.0
1107386,680.0
1107420,680.0
1107454,680.0
1107488,680.0
1107522,680.0
1107555,660.0
1107590,700.0
1107624,680.0
1107658,680.0
1107692,680.0
1107726,680.0
1107760,680.0
1107795,700.0
1107829,680.0
1107864,700.0
1107899,700.0
1107933,680.0
1107968,700.0
1108003,700.0
1108037,680.0
1108072,700.0
1108106,680.0
1108140,680.0
1108175,700.0
1108209,680.0
1108244,700.0
1108278,680.0
1108313,700.0
1108348,700.0
1108383,700.0
1108417,680.0
1108452,700.0
1108488,720.0
1108523,700.0
1108558,700.0
1108593,700.0
1108628,700.0
1108664,720.0
1108698,680.0
1108733,700.0
1108768,700.0
1108803,700.0
1108838,700.0
1108873,700.0
1108907,680.0
1108942,700.0
1108977,700.0
1109012,700.0
1109047,700.0
1109082,700.0
1109117,700.0
1109152,700.0
1109186,680.0
1109221,700.0
1109256,700.0
1109290,680.0
1109324,680.0
1109359,700.0
1109393,680.0
1109428,700.0
1109462,680.0
1109497,700.0
1109531,680.0
1109566,700.0
1109600,680.0
1109634,680.0
1109668,680.0
1109703,700.0
1109737,680.0
1109771,680.0
1109805,680.0
1109840,700.0
1109874,680.0
1109909,700.0
1109944,700.0
1109978,680.0
1110013,700.0
1110048,700.0
1110083,700.0
1110118,700.0
1110153,700.0
1110188,700.0
1110223,700.0
1110258,700.0
1110292,680.0
1110327,700.0
1110362,700.0
1110397,700.0
1110432,700.0
1110467,700.0
1110502,700.0
1110537,700.0
1110572,700.0
1110607,700.0
1110642,700.0
1110677,700.0
1110712,700.0
1110747,700.0
1110781,680.0
1110816,700.0
1110851,700.0
1110886,700.0
1110920,680.0
1110955,700.0
1110990,700.0
1111024,680.0
1111059,700.0
1111093,680.0
1111128,700.0
1111162,680.0
1111197,700.0
1111232,700.0
1111267,700.0
1111301,680.0
1111336,700.0
1111370,680.0
1111405,700.0
1111439,680.0
1111474,700.0
1111508,680.0
1111542,680.0
1111577,700.0
1111611,680.0
1111646,700.0
1111680,680.0
1111714,680.0
1111749,700.0
1111783,680.0
1111817,680.0
1111852,700.0
1111886,680.0
1111920,680.0
1111954,680.0
1111988,680.0
1112022,680.0
1112056,680.0
1112090,680.0
1112124,680.0
1112158,680.0
1112192,680.0
1112226,680.0
1112260,680.0
1112294,680.0
1112329,700.0
1112363,680.0
1112398,700.0
1112432,680.0
1112467,700.0
1112501,680.0
1112536,700.0
1112570,680.0
1112605,700.0
1112639,680.0
1112674,700.0
1112709,700.0
1112744,700.0
1112779,700.0
1112813,680.0
1112848,700.0
1112883,700.0
1112918,700.0
1112953,700.0
1112988,700.0
1113023,700.0
1113058,700.0
1113093,700.0
1113127,680.0
1113162,700.0
1113196,680.0
1113231,700.0
1113265,680.0
1113299,680.0
1113334,700.0
1113368,680.0
1113403,700.0
1113437,680.0
1113471,680.0
1113506,700.0
1113540,680.0
1113575,700.0
1113609,680.0
1113644,700.0
1113678,680.0
1113713,700.0
1113747,680.0
1113781,680.0
1113815,680.0
1113850,700.0
1113884,680.0
1113918,680.0
1113952,680.0
1113987,700.0
1114021,680.0
1114055,680.0
1114089,680.0
1114123,680.0
1114158,700.0
1114192,680.0
1114226,680.0
1114261,700.0
1114295,680.0
1114329,680.0
1114363,680.0
1114397,680.0
1114431,680.0
1114465,680.0
1114499,680.0
1114533,680.0
1114568,700.0
1114602,680.0
1114636,680.0
1114670,680.0
1114704,680.0
1114739,700.0
1114773,680.0
1114807,680.0
1114841,680.0
1114876,700.0
1114910,680.0
1114944,680.0
1114979,700.0
1115013,680.0
1115047,680.0
1115082,700.0
1115116,680.0
1115151,700.0
1115185,680.0
1115220,700.0
1115255,700.0
1115289,680.0
1115324,700.0
1115359,700.0
1115393,680.0
1115428,700.0
1115463,700.0
1115497,680.0
1115532,700.0
1115566,680.0
1115601,700.0
1115635,680.0
1115670,700.0
1115704,680.0
1115738,680.0
1115772,680.0
1115807,700.0
1115841,680.0
1115875,680.0
1115909,680.0
1115944,700.0
1115978,680.0
1116013,700.0
1116047,680.0
1116081,680.0
1116116,700.0
1116150,680.0
1116184,680.0
1116219,700.0
1116253,680.0
1116288,700.0
1116322,680.0
1116357,700.0
1116391,680.0
1116426,700.0
1116460,680.0
1116495,700.0
1116529,680.0
1116564,700.0
1116599,700.0
1116633,680.0
1116668,700.0
1116702,680.0
1116736,680.0
1116771,700.0
1116805,680.0
1116839,680.0
1116873,680.0
1116907,680.0
1116941,680.0
1116976,700.0
1117010,680.0
1117044,680.0
1117078,680.0
1117112,680.0
1117147,700.0
1117181,680.0
1117215,680.0
1117249,680.0
1117284,700.0
1117318,680.0
1117352,680.0
1117387,700.0
1117421,680.0
1117456,700.0
1117490,680.0
1117525,700.0
1117560,700.0
1117595,700.0
1117629,680.0
1117664,700.0
1117698,680.0
1117733,700.0
1117767,680.0
1117802,700.0
1117836,680.0
1117871,700.0
1117906,700.0
1117941,700.0
1117976,700.0
1118011,700.0
1118046,700.0
1118081,700.0
1118116,700.0
1118151,700.0
1118186,700.0
1118221,700.0
1118256,700.0
1118291,700.0
1118326,700.0
1118360,680.0
1118395,700.0
1118430,700.0
1118464,680.0
1118499,700.0
1118534,700.0
1118569,700.0
1118603,680.0
1118638,700.0
1118673,700.0
1118708,700.0
1118743,700.0
1118778,700.0
1118812,680.0
1118847,700.0
1118881,680.0
1118916,700.0
1118950,680.0
1118985,700.0
1119019,680.0
1119054,700.0
1119088,680.0
1119123,700.0
1119157,680.0
1119192,700.0
1119227,700.0
1119262,700.0
1119297,700.0
1119332,700.0
1119367,700.0
1119402,700.0
1119437,700.0
1119472,700.0
1119506,680.0
1119541,700.0
1119576,700.0
1119610,680.0
1119645,700.0
1119680,700.0
1119715,700.0
1119749,680.0
1119784,700.0
1119818,680.0
1119853,700.0
1119887,680.0
1119922,700.0
1119956,680.0
1119991,700.0
1120026,700.0
1120061,700.0
1120095,680.0
1120130,700.0
1120165,700.0
1120200,700.0
1120235,700.0
1120270,700.0
1120305,700.0
1120340,700.0
1120375,700.0
1120410,700.0
1120445,700.0
1120480,700.0
1120514,680.0
1120549,700.0
1120584,700.0
1120618,680.0
1120653,700.0
1120687,680.0
1120722,700.0
1120756,680.0
1120791,700.0
1120825,680.0
1120860,700.0
1120894,680.0
1120928,680.0
1120962,680.0
1120996,680.0
1121030,680.0
1121064,680.0
1121098,680.0
1121133,700.0
1121167,680.0
1121201,680.0
1121235,680.0
1121269,680.0
1121303,680.0
1121337,680.0
1121371,680.0
1121405,680.0
1121439,680.0
1121473,680.0
1121507,680.0
1121541,680.0
1121575,680.0
1121609,680.0
1121644,700.0
1121678,680.0
1121712,680.0
1121746,680.0
1121780,680.0
1121814,680.0
1121848,680.0
1121882,680.0
1121916,680.0
1121950,680.0
1121984,680.0
1122017,660.0
1122051,680.0
1122085,680.0
1122119,680.0
1122153,680.0
1122186,660.0
1122220,680.0
1122254,680.0
1122288,680.0
1122322,680.0
1122357,700.0
1122391,680.0
1122425,680.0
1122459,680.0
1122494,700.0
1122528,680.0
1122563,700.0
1122597,680.0
1122632,700.0
1122666,680.0
1122701,700.0
1122735,680.0
1122770,700.0
1122805,700.0
1122840,700.0
1122875,700.0
1122910,700.0
1122945,700.0
1122980,700.0
1123015,700.0
1123049,680.0
1123084,700.0
1123118,680.0
1123153,700.0
1123187,680.0
1123222,700.0
1123256,680.0
1123290,680.0
1123324,680.0
1123359,700.0
1123393,680.0
1123427,680.0
1123462,700.0
1123496,680.0
1123530,680.0
1123565,700.0
1123599,680.0
1123633,680.0
1123667,680.0
1123701,680.0
1123735,680.0
1123769,680.0
1123803,680.0
1123838,700.0
1123872,680.0
1123906,680.0
1123941,700.0
1123975,680.0
1124009,680.0
1124043,680.0
1124078,700.0
1124112,680.0
1124146,680.0
1124180,680.0
1124214,680.0
1124249,700.0
1124283,680.0
1124317,680.0
