R-Peaks (Sample Index),R-R Interval (Samples)
800037,620.0
800065,560.0
800093,560.0
800120,540.0
800148,560.0
800203,1100.0
800231,560.0
800259,560.0
800287,560.0
800315,560.0
800400,1700.0
800428,560.0
800457,580.0
800485,560.0
800542,1140.0
800570,560.0
800598,560.0
800626,560.0
800654,560.0
800674,400.0
800681,140.0
800692,220.0
800734,840.0
800787,1060.0
800813,520.0
800865,1040.0
800891,520.0
800917,520.0
800942,500.0
800962,400.0
800968,120.0
800993,500.0
801012,380.0
801018,120.0
801044,520.0
801069,500.0
801094,500.0
801119,500.0
801144,500.0
801169,500.0
801194,500.0
801243,980.0
801268,500.0
801293,500.0
801317,480.0
801342,500.0
801367,500.0
801386,380.0
801391,100.0
801415,480.0
801440,500.0
801464,480.0
801488,480.0
801507,380.0
801512,100.0
801536,480.0
801560,480.0
801584,480.0
801655,1420.0
801679,480.0
801703,480.0
801727,480.0
801751,480.0
801775,480.0
801793,360.0
801799,120.0
801823,480.0
801847,480.0
801871,480.0
801888,340.0
801895,140.0
801913,360.0
801944,620.0
801968,480.0
801992,480.0
801993,20.0
802017,480.0
802042,500.0
802066,480.0
802091,500.0
802116,500.0
802165,980.0
802240,1500.0
802265,500.0
802290,500.0
802340,1000.0
802440,2000.0
802465,500.0
802490,500.0
802515,500.0
802540,500.0
802565,500.0
802566,20.0
802591,500.0
802616,500.0
802691,1500.0
802717,520.0
802736,380.0
802742,120.0
802761,380.0
802767,120.0
802792,500.0
802793,20.0
802811,360.0
802818,140.0
802844,520.0
802972,2560.0
802997,500.0
803023,520.0
803042,380.0
803048,120.0
803067,380.0
803073,120.0
803092,380.0
803098,120.0
803123,500.0
803148,500.0
803173,500.0
803248,1500.0
803273,500.0
803298,500.0
803323,500.0
803348,500.0
803384,720.0
803385,20.0
803447,1240.0
803472,500.0
803497,500.0
803522,500.0
803547,500.0
803572,500.0
803597,500.0
803622,500.0
803649,540.0
803700,1020.0
803726,520.0
803803,1540.0
803829,520.0
803855,520.0
803881,520.0
803907,520.0
803933,520.0
803959,520.0
804012,1060.0
804038,520.0
804064,520.0
804090,520.0
804143,1060.0
804169,520.0
804275,2120.0
804302,540.0
804328,520.0
804355,540.0
804382,540.0
804409,540.0
804435,520.0
804462,540.0
804489,540.0
804515,520.0
804542,540.0
804569,540.0
804596,540.0
804623,540.0
804650,540.0
804677,540.0
804704,540.0
804731,540.0
804758,540.0
804785,540.0
804812,540.0
804839,540.0
804867,560.0
804894,540.0
804922,560.0
804949,540.0
804977,560.0
805005,560.0
805033,560.0
805061,560.0
805089,560.0
805146,1140.0
805174,560.0
805231,1140.0
805259,560.0
805288,580.0
805316,560.0
805345,580.0
805373,560.0
805401,560.0
805430,580.0
805458,560.0
805515,1140.0
805543,560.0
805600,1140.0
805627,540.0
805655,560.0
805682,540.0
805709,540.0
805735,520.0
805762,540.0
805788,520.0
805814,520.0
805840,520.0
805866,520.0
805892,520.0
805943,1020.0
805980,740.0
806070,1800.0
806214,2880.0
806246,640.0
806271,500.0
806296,500.0
806315,380.0
806321,120.0
806345,480.0
806346,20.0
806371,500.0
806389,360.0
806395,120.0
806420,500.0
806464,880.0
806469,100.0
806494,500.0
806519,500.0
806543,480.0
806561,360.0
806568,140.0
