# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25,session_26
57,0,89,91,94,92,91,97,99,101,93,95,100,88,98,96,95,90,93,99,96,100,90,96,97,93,90
57,0,89,92,92,92,91,93,97,101,93,95,100,88,98,96,95,89,93,99,96,100,89,96,97,93,90
57,0,89,92,92,92,91,93,97,101,93,95,100,88,98,96,95,89,93,99,93,101,89,95,97,93,90
62,0,89,94,91,92,91,93,97,96,93,96,100,88,98,96,95,90,93,98,93,100,89,94,96,93,84
112,0,89,94,89,92,91,93,97,94,93,96,91,88,98,96,95,91,92,98,93,99,89,94,97,93,84
112,0,87,94,87,92,91,91,98,91,93,96,91,88,98,96,95,91,92,96,93,99,98,94,96,95,86
112,107,87,95,87,91,90,93,98,91,94,98,91,88,100,96,95,91,92,95,94,100,98,93,96,96,88
112,92,81,96,86,91,79,93,98,91,94,98,92,88,101,96,95,91,92,96,95,100,98,93,96,96,0
0,91,81,96,86,91,79,93,99,91,94,98,93,88,102,96,95,91,93,98,95,100,93,93,96,96,0
0,91,81,97,86,91,79,95,99,91,95,99,93,88,102,91,95,90,93,96,96,102,93,93,94,93,0
0,91,83,97,87,91,80,95,98,92,95,100,93,88,102,91,94,90,94,95,97,105,93,93,88,88,0
0,91,90,100,90,91,89,95,97,92,95,100,91,93,99,90,91,90,94,95,95,107,93,93,85,88,0
0,91,92,100,90,91,95,92,94,94,96,100,90,93,94,90,91,90,94,94,97,110,95,96,85,88,0
0,90,93,100,90,91,96,92,94,94,96,100,90,93,92,90,91,91,94,94,99,110,95,96,85,88,0
0,90,93,100,90,90,97,92,94,94,95,99,90,93,92,90,94,95,94,94,99,110,96,96,90,88,253
0,90,93,99,89,90,99,97,94,94,96,89,94,93,92,91,94,95,94,96,99,107,96,96,93,90,55
0,89,92,98,86,90,99,98,98,94,96,89,94,92,92,93,94,95,94,96,100,100,99,96,96,90,0
0,89,91,98,86,90,99,100,99,94,95,89,94,92,93,93,94,94,95,97,100,95,99,96,96,90,0
