R-Peaks (Sample Index),R-R Interval (Samples)
700025,520.0
700033,160.0
700051,360.0
700078,540.0
700105,540.0
700131,520.0
700158,540.0
700185,540.0
700212,540.0
700239,540.0
700266,540.0
700292,520.0
700319,540.0
700346,540.0
700373,540.0
700400,540.0
700427,540.0
700453,520.0
700480,540.0
700507,540.0
700534,540.0
700561,540.0
700588,540.0
700615,540.0
700642,540.0
700668,520.0
700695,540.0
700722,540.0
700749,540.0
700776,540.0
700803,540.0
700830,540.0
700857,540.0
700884,540.0
700911,540.0
700938,540.0
700965,540.0
700992,540.0
701019,540.0
701046,540.0
701072,520.0
701099,540.0
701126,540.0
701153,540.0
701180,540.0
701207,540.0
701233,520.0
701260,540.0
701287,540.0
701314,540.0
701341,540.0
701367,520.0
701394,540.0
701421,540.0
701447,520.0
701474,540.0
701501,540.0
701528,540.0
701555,540.0
701581,520.0
701608,540.0
701634,520.0
701661,540.0
701688,540.0
701715,540.0
701741,520.0
701768,540.0
701794,520.0
701821,540.0
701848,540.0
701875,540.0
701902,540.0
701928,520.0
701955,540.0
701982,540.0
702009,540.0
702035,520.0
702062,540.0
702089,540.0
702116,540.0
702143,540.0
702170,540.0
702197,540.0
702224,540.0
702251,540.0
702278,540.0
702304,520.0
702331,540.0
702358,540.0
702385,540.0
702412,540.0
702439,540.0
702466,540.0
702493,540.0
702520,540.0
702546,520.0
702573,540.0
702600,540.0
702627,540.0
702654,540.0
702681,540.0
702707,520.0
702734,540.0
702761,540.0
702788,540.0
702815,540.0
702842,540.0
702869,540.0
702896,540.0
702922,520.0
702949,540.0
702976,540.0
703003,540.0
703030,540.0
703057,540.0
703084,540.0
703110,520.0
703137,540.0
703164,540.0
703191,540.0
703218,540.0
703245,540.0
703272,540.0
703299,540.0
703326,540.0
703353,540.0
703380,540.0
703407,540.0
703434,540.0
703460,520.0
703487,540.0
703515,560.0
703542,540.0
703569,540.0
703596,540.0
703623,540.0
703649,520.0
703676,540.0
703703,540.0
703730,540.0
703757,540.0
703784,540.0
703811,540.0
703838,540.0
703865,540.0
703892,540.0
703919,540.0
703945,520.0
703972,540.0
703999,540.0
704026,540.0
704053,540.0
704080,540.0
704106,520.0
704133,540.0
704160,540.0
704186,520.0
704213,540.0
704240,540.0
704267,540.0
704294,540.0
704321,540.0
704347,520.0
704374,540.0
704400,520.0
704427,540.0
704454,540.0
704481,540.0
704507,520.0
704534,540.0
704561,540.0
704587,520.0
704614,540.0
704641,540.0
704668,540.0
704694,520.0
704721,540.0
704748,540.0
704775,540.0
704801,520.0
704828,540.0
704855,540.0
704882,540.0
704908,520.0
704935,540.0
704962,540.0
704989,540.0
705016,540.0
705043,540.0
705070,540.0
705096,520.0
705123,540.0
705151,560.0
705177,520.0
705204,540.0
705231,540.0
705258,540.0
705285,540.0
705312,540.0
705339,540.0
705366,540.0
705392,520.0
705420,560.0
705446,520.0
705473,540.0
705500,540.0
705527,540.0
705554,540.0
705581,540.0
705608,540.0
705634,520.0
705661,540.0
705688,540.0
705715,540.0
705742,540.0
705769,540.0
705796,540.0
705823,540.0
705850,540.0
705877,540.0
705904,540.0
705930,520.0
705957,540.0
705984,540.0
706011,540.0
706037,520.0
706064,540.0
706091,540.0
706118,540.0
706145,540.0
706172,540.0
706199,540.0
706226,540.0
706253,540.0
706280,540.0
706307,540.0
706334,540.0
706361,540.0
706387,520.0
706414,540.0
706441,540.0
706495,1080.0
706496,20.0
706523,540.0
706549,520.0
706576,540.0
706603,540.0
706630,540.0
706657,540.0
706684,540.0
706711,540.0
706738,540.0
706764,520.0
706792,560.0
706818,520.0
706845,540.0
706872,540.0
706899,540.0
706926,540.0
706952,520.0
706979,540.0
707006,540.0
707033,540.0
707060,540.0
707086,520.0
707113,540.0
707140,540.0
707166,520.0
707193,540.0
707220,540.0
707247,540.0
707273,520.0
707300,540.0
707327,540.0
707354,540.0
707380,520.0
707407,540.0
707434,540.0
707460,520.0
707487,540.0
707514,540.0
707541,540.0
707567,520.0
707594,540.0
707621,540.0
707647,520.0
707674,540.0
707701,540.0
707728,540.0
707755,540.0
707782,540.0
707809,540.0
707835,520.0
707862,540.0
707889,540.0
707916,540.0
707943,540.0
707970,540.0
707997,540.0
708024,540.0
708050,520.0
708078,560.0
708105,540.0
708132,540.0
708159,540.0
708186,540.0
708212,520.0
708240,560.0
708267,540.0
708294,540.0
708321,540.0
708348,540.0
708375,540.0
708401,520.0
708428,540.0
708456,560.0
708482,520.0
708509,540.0
708536,540.0
708563,540.0
708590,540.0
708617,540.0
708644,540.0
708671,540.0
708698,540.0
708725,540.0
708752,540.0
708778,520.0
708805,540.0
708832,540.0
708859,540.0
708886,540.0
708913,540.0
708939,520.0
708966,540.0
708993,540.0
709020,540.0
709047,540.0
709074,540.0
709101,540.0
709127,520.0
709154,540.0
709181,540.0
709208,540.0
