R-Peaks (Sample Index),R-R Interval (Samples)
1800029,640.0
1800061,640.0
1800093,640.0
1800126,660.0
1800158,640.0
1800190,640.0
1800222,640.0
1800254,640.0
1800286,640.0
1800318,640.0
1800351,660.0
1800383,640.0
1800414,620.0
1800446,640.0
1800478,640.0
1800511,660.0
1800543,640.0
1800575,640.0
1800607,640.0
1800639,640.0
1800671,640.0
1800703,640.0
1800735,640.0
1800768,660.0
1800800,640.0
1800832,640.0
1800864,640.0
1800897,660.0
1800929,640.0
1800961,640.0
1800993,640.0
1801025,640.0
1801057,640.0
1801089,640.0
1801121,640.0
1801153,640.0
1801185,640.0
1801218,660.0
1801250,640.0
1801282,640.0
1801314,640.0
1801346,640.0
1801378,640.0
1801411,660.0
1801443,640.0
1801475,640.0
1801507,640.0
1801540,660.0
1801572,640.0
1801604,640.0
1801636,640.0
1801669,660.0
1801701,640.0
1801733,640.0
1801765,640.0
1801797,640.0
1801830,660.0
1801862,640.0
1801894,640.0
1801926,640.0
1801958,640.0
1801990,640.0
1802022,640.0
1802054,640.0
1802086,640.0
1802118,640.0
1802182,1280.0
1802214,640.0
1802215,20.0
1802247,640.0
1802279,640.0
1802311,640.0
1802343,640.0
1802375,640.0
1802407,640.0
1802440,660.0
1802472,640.0
1802504,640.0
1802536,640.0
1802568,640.0
1802600,640.0
1802633,660.0
1802665,640.0
1802697,640.0
1802729,640.0
1802761,640.0
1802794,660.0
1802826,640.0
1802858,640.0
1802890,640.0
1802922,640.0
1802955,660.0
1802987,640.0
1803019,640.0
1803051,640.0
1803084,660.0
1803116,640.0
1803148,640.0
1803181,660.0
1803213,640.0
1803245,640.0
1803277,640.0
1803309,640.0
1803341,640.0
1803373,640.0
1803405,640.0
1803437,640.0
1803469,640.0
1803502,660.0
1803534,640.0
1803566,640.0
1803598,640.0
1803630,640.0
1803662,640.0
1803694,640.0
1803726,640.0
1803758,640.0
1803790,640.0
1803822,640.0
1803854,640.0
1803886,640.0
1803919,660.0
1803951,640.0
1803983,640.0
1804015,640.0
1804047,640.0
1804079,640.0
1804111,640.0
1804144,660.0
1804176,640.0
1804208,640.0
1804240,640.0
1804272,640.0
1804304,640.0
1804336,640.0
1804368,640.0
1804401,660.0
1804433,640.0
1804465,640.0
1804496,620.0
1804528,640.0
1804561,660.0
1804592,620.0
1804624,640.0
1804656,640.0
1804688,640.0
1804720,640.0
1804752,640.0
1804785,660.0
1804817,640.0
1804849,640.0
1804881,640.0
1804913,640.0
1804945,640.0
1804978,660.0
1805010,640.0
1805042,640.0
1805074,640.0
1805107,660.0
1805139,640.0
1805171,640.0
1805203,640.0
1805236,660.0
1805268,640.0
1805301,660.0
1805333,640.0
1805365,640.0
1805397,640.0
1805429,640.0
1805462,660.0
1805494,640.0
1805526,640.0
1805558,640.0
1805590,640.0
1805622,640.0
1805655,660.0
1805687,640.0
1805719,640.0
1805751,640.0
1805783,640.0
1805815,640.0
1805848,660.0
1805880,640.0
1805912,640.0
1805944,640.0
1805976,640.0
1806008,640.0
1806040,640.0
1806072,640.0
1806104,640.0
1806137,660.0
1806169,640.0
1806201,640.0
1806233,640.0
1806265,640.0
1806297,640.0
1806329,640.0
1806362,660.0
1806394,640.0
1806426,640.0
1806458,640.0
1806491,660.0
1806523,640.0
1806555,640.0
1806619,1280.0
1806620,20.0
1806652,640.0
1806684,640.0
1806716,640.0
1806748,640.0
1806780,640.0
1806812,640.0
1806845,660.0
1806877,640.0
1806909,640.0
1806941,640.0
1806973,640.0
1807005,640.0
1807038,660.0
1807070,640.0
1807102,640.0
1807134,640.0
1807166,640.0
1807198,640.0
1807230,640.0
1807262,640.0
1807294,640.0
1807326,640.0
1807358,640.0
1807390,640.0
1807422,640.0
1807454,640.0
1807486,640.0
1807518,640.0
1807550,640.0
1807582,640.0
1807646,1280.0
1807647,20.0
1807678,620.0
1807710,640.0
1807743,660.0
1807775,640.0
1807807,640.0
1807839,640.0
1807871,640.0
1807903,640.0
1807935,640.0
1807967,640.0
1807999,640.0
1808031,640.0
1808063,640.0
1808095,640.0
1808127,640.0
1808159,640.0
1808191,640.0
1808223,640.0
1808255,640.0
1808287,640.0
1808319,640.0
1808351,640.0
1808383,640.0
1808415,640.0
1808448,660.0
1808480,640.0
1808512,640.0
1808544,640.0
1808576,640.0
1808608,640.0
1808640,640.0
1808673,660.0
1808705,640.0
1808737,640.0
1808769,640.0
1808801,640.0
1808833,640.0
1808865,640.0
1808897,640.0
1808929,640.0
1808961,640.0
1808993,640.0
1809025,640.0
1809089,1280.0
1809090,20.0
1809121,620.0
1809154,660.0
1809186,640.0
1809218,640.0
1809250,640.0
1809282,640.0
1809314,640.0
1809347,660.0
1809379,640.0
1809411,640.0
1809443,640.0
1809476,660.0
1809508,640.0
1809540,640.0
1809573,660.0
1809605,640.0
1809637,640.0
1809669,640.0
1809702,660.0
1809734,640.0
1809766,640.0
1809798,640.0
1809830,640.0
1809863,660.0
1809895,640.0
1809927,640.0
1809959,640.0
1809991,640.0
1810023,640.0
1810055,640.0
1810088,660.0
1810120,640.0
1810152,640.0
1810184,640.0
1810216,640.0
1810249,660.0
1810281,640.0
1810313,640.0
1810345,640.0
1810377,640.0
1810409,640.0
1810441,640.0
1810473,640.0
1810505,640.0
1810537,640.0
1810569,640.0
1810601,640.0
1810633,640.0
1810665,640.0
1810697,640.0
1810729,640.0
1810761,640.0
1810793,640.0
1810825,640.0
1810857,640.0
1810889,640.0
1810921,640.0
1810954,660.0
1810986,640.0
1811018,640.0
1811050,640.0
1811082,640.0
1811114,640.0
1811146,640.0
1811178,640.0
1811210,640.0
1811242,640.0
1811274,640.0
1811306,640.0
1811338,640.0
1811369,620.0
1811401,640.0
1811433,640.0
1811465,640.0
1811497,640.0
1811529,640.0
1811561,640.0
1811593,640.0
1811625,640.0
1811658,660.0
1811690,640.0
1811722,640.0
1811754,640.0
1811786,640.0
1811818,640.0
1811850,640.0
1811882,640.0
1811914,640.0
1811946,640.0
1811979,660.0
1812011,640.0
1812043,640.0
1812075,640.0
1812107,640.0
