# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,Arr,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,0,0,0,0,0,0,0,0,0,0,0,68,412,15,66,-17,0,0
20000,1,0,0,0,0,0,0,0,0,0,0,0,29,391,7,55,5,0,0
40000,2,0,0,0,0,0,0,0,0,0,0,0,70,391,11,55,9,0,0
60000,3,0,0,0,0,0,0,0,0,0,0,0,90,409,12,58,10,0,0
80000,4,0,0,0,0,0,0,0,0,0,0,0,97,416,13,62,-1,0,0
100000,5,0,0,0,0,0,0,0,0,0,0,0,91,409,12,58,3,0,0
120000,6,0,0,0,0,0,0,0,0,0,0,0,88,405,12,57,4,0,0
140000,7,0,0,0,0,0,0,0,0,0,0,0,97,403,12,56,8,0,0
160000,8,0,0,0,0,0,0,0,0,0,0,0,92,416,12,58,0,0,0
180000,9,0,0,0,0,0,0,0,0,0,0,0,97,416,12,60,-2,0,0
200000,10,0,0,0,0,0,0,0,0,0,0,0,97,408,11,58,1,0,0
220000,11,0,0,0,0,0,0,0,0,0,0,0,87,410,13,57,-1,0,0
240000,12,0,0,0,0,0,0,0,0,0,0,0,97,419,14,61,6,0,0
260000,13,0,0,0,0,0,0,0,0,0,0,0,92,399,13,54,-1,0,0
280000,14,0,0,0,0,0,0,0,0,0,0,0,92,400,16,54,-1,0,0
300000,15,0,0,0,0,0,0,0,0,0,0,0,92,401,15,54,3,0,0
320000,16,0,0,0,0,0,0,0,0,0,0,0,93,401,14,54,1,0,0
340000,17,0,0,0,0,0,0,0,0,0,0,0,97,432,14,65,-3,0,0
360000,18,0,0,0,0,0,0,0,0,0,0,0,92,426,13,63,-10,0,0
380000,19,0,0,0,0,0,0,0,0,0,0,0,97,423,13,62,-5,0,0
400000,20,0,0,0,0,0,0,0,0,0,0,0,87,411,13,59,-9,0,0
420000,21,0,0,0,0,0,0,0,0,0,0,0,90,432,14,65,-10,0,0
440000,22,0,0,0,0,0,0,0,0,0,0,0,93,414,14,60,-10,0,0
460000,23,0,0,0,0,0,0,0,0,0,0,0,93,401,13,56,2,0,0
480000,24,0,0,0,0,0,0,0,0,0,0,0,91,396,14,54,-8,0,0
500000,25,0,0,0,0,0,0,0,0,0,0,0,93,410,13,56,-6,0,0
520000,26,0,0,0,0,0,0,0,0,0,0,0,91,403,13,54,-1,0,0
540000,27,0,0,0,0,0,0,0,0,0,0,0,92,414,14,57,-4,0,0
560000,28,0,0,0,0,0,0,0,0,0,0,0,93,413,13,59,-1,0,0
580000,29,0,0,0,0,0,0,0,0,0,0,0,97,425,14,62,-12,0,0
600000,30,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
