R-Peaks (Sample Index),R-R Interval (Samples)
1400018,740.0
1400045,540.0
1400084,780.0
1400123,780.0
1400162,780.0
1400200,760.0
1400239,780.0
1400279,800.0
1400320,820.0
1400360,800.0
1400400,800.0
1400442,840.0
1400493,1020.0
1400538,900.0
1400581,860.0
1400621,800.0
1400662,820.0
1400703,820.0
1400744,820.0
1400786,840.0
1400839,1060.0
1400885,920.0
1400927,840.0
1400965,760.0
1401004,780.0
1401047,860.0
1401089,840.0
1401130,820.0
1401170,800.0
1401212,840.0
1401252,800.0
1401290,760.0
1401329,780.0
1401370,820.0
1401414,880.0
1401454,800.0
1401494,800.0
1401535,820.0
1401575,800.0
1401615,800.0
1401654,780.0
1401692,760.0
1401731,780.0
1401772,820.0
1401812,800.0
1401853,820.0
1401892,780.0
1401930,760.0
1401967,740.0
1402000,660.0
1402033,660.0
1402067,680.0
1402112,900.0
1402157,900.0
1402198,820.0
1402236,760.0
1402274,760.0
1402311,740.0
1402352,820.0
1402388,720.0
1402423,700.0
1402466,860.0
1402513,940.0
1402560,940.0
1402604,880.0
1402646,840.0
1402696,1000.0
1402743,940.0
1402784,820.0
1402824,800.0
1402862,760.0
1402907,900.0
1402948,820.0
1402990,840.0
1403039,980.0
1403087,960.0
1403129,840.0
1403169,800.0
1403208,780.0
1403252,880.0
1403291,780.0
1403328,740.0
1403366,760.0
1403408,840.0
1403449,820.0
1403485,720.0
1403520,700.0
1403558,760.0
1403606,960.0
1403647,820.0
1403683,720.0
1403718,700.0
1403752,680.0
1403788,720.0
1403824,720.0
1403859,700.0
1403893,680.0
1403930,740.0
1403968,760.0
1404013,900.0
1404053,800.0
1404090,740.0
1404128,760.0
1404167,780.0
1404208,820.0
1404244,720.0
1404281,740.0
1404320,780.0
1404374,1080.0
1404419,900.0
1404460,820.0
1404500,800.0
1404542,840.0
1404584,840.0
1404624,800.0
1404661,740.0
1404709,960.0
1404762,1060.0
1404807,900.0
1404845,760.0
1404884,780.0
1404932,960.0
1404973,820.0
1405011,760.0
1405049,760.0
1405095,920.0
1405140,900.0
1405184,880.0
1405227,860.0
1405268,820.0
1405309,820.0
1405350,820.0
1405390,800.0
1405432,840.0
1405472,800.0
1405512,800.0
1405552,800.0
1405590,760.0
1405628,760.0
1405670,840.0
1405706,720.0
1405741,700.0
1405776,700.0
1405818,840.0
1405859,820.0
1405896,740.0
1405931,700.0
1405966,700.0
1406004,760.0
1406042,760.0
1406077,700.0
1406112,700.0
1406147,700.0
1406192,900.0
1406238,920.0
1406277,780.0
1406314,740.0
1406350,720.0
1406386,720.0
1406421,700.0
1406455,680.0
1406489,680.0
1406525,720.0
1406568,860.0
1406610,840.0
1406650,800.0
1406689,780.0
1406729,800.0
1406770,820.0
1406808,760.0
1406842,680.0
1406879,740.0
1406925,920.0
1406971,920.0
1407015,880.0
1407055,800.0
1407108,1060.0
1407158,1000.0
1407200,840.0
1407239,780.0
1407283,880.0
1407331,960.0
1407371,800.0
1407409,760.0
1407448,780.0
1407501,1060.0
1407547,920.0
1407589,840.0
1407632,860.0
1407673,820.0
1407711,760.0
1407746,700.0
1407780,680.0
1407815,700.0
1407859,880.0
1407903,880.0
1407941,760.0
1407977,720.0
1408014,740.0
1408057,860.0
1408095,760.0
1408132,740.0
1408167,700.0
1408201,680.0
1408238,740.0
1408275,740.0
1408310,700.0
1408345,700.0
1408384,780.0
1408427,860.0
1408474,940.0
1408513,780.0
1408550,740.0
1408590,800.0
1408630,800.0
1408666,720.0
1408703,740.0
1408740,740.0
1408780,800.0
1408825,900.0
1408864,780.0
1408902,760.0
1408940,760.0
1408981,820.0
1409018,740.0
1409054,720.0
1409092,760.0
1409133,820.0
1409173,800.0
1409208,700.0
1409243,700.0
1409278,700.0
1409327,980.0
1409371,880.0
1409413,840.0
1409453,800.0
1409491,760.0
1409531,800.0
1409572,820.0
1409612,800.0
1409652,800.0
1409695,860.0
1409738,860.0
1409778,800.0
1409819,820.0
1409859,800.0
1409901,840.0
1409940,780.0
1409980,800.0
1410021,820.0
1410063,840.0
1410106,860.0
1410147,820.0
1410187,800.0
1410226,780.0
1410266,800.0
1410305,780.0
1410342,740.0
1410380,760.0
1410420,800.0
1410461,820.0
1410499,760.0
1410537,760.0
1410576,780.0
1410614,760.0
1410651,740.0
1410688,740.0
1410723,700.0
1410760,740.0
1410797,740.0
1410832,700.0
1410867,700.0
1410902,700.0
1410938,720.0
1410973,700.0
1411007,680.0
1411040,660.0
1411074,680.0
1411112,760.0
1411157,900.0
1411197,800.0
1411236,780.0
1411276,800.0
1411315,780.0
1411353,760.0
1411391,760.0
1411429,760.0
1411467,760.0
1411506,780.0
1411548,840.0
1411589,820.0
1411631,840.0
1411673,840.0
1411721,960.0
1411765,880.0
1411807,840.0
1411850,860.0
1411890,800.0
1411929,780.0
1411969,800.0
1412009,800.0
1412050,820.0
1412089,780.0
1412130,820.0
1412174,880.0
1412216,840.0
1412256,800.0
1412296,800.0
1412334,760.0
1412370,720.0
1412407,740.0
1412443,720.0
1412479,720.0
1412517,760.0
1412558,820.0
1412594,720.0
1412630,720.0
1412666,720.0
1412702,720.0
1412740,760.0
1412776,720.0
1412810,680.0
1412844,680.0
1412878,680.0
1412918,800.0
1412959,820.0
1412995,720.0
1413031,720.0
1413068,740.0
1413106,760.0
1413146,800.0
1413184,760.0
1413222,760.0
1413258,720.0
1413308,1000.0
1413354,920.0
1413396,840.0
1413433,740.0
1413470,740.0
1413511,820.0
1413549,760.0
1413588,780.0
1413633,900.0
1413679,920.0
1413717,760.0
1413753,720.0
1413788,700.0
1413824,720.0
1413859,700.0
1413894,700.0
1413933,780.0
1413975,840.0
1414024,980.0
1414065,820.0
1414101,720.0
1414137,720.0
1414172,700.0
1414208,720.0
1414242,680.0
1414276,680.0
1414313,740.0
1414364,1020.0
1414409,900.0
1414448,780.0
1414483,700.0
1414519,720.0
1414559,800.0
1414597,760.0
1414632,700.0
1414666,680.0
1414702,720.0
1414742,800.0
1414781,780.0
1414817,720.0
1414854,740.0
1414898,880.0
1414942,880.0
1414979,740.0
1415015,720.0
1415052,740.0
1415088,720.0
1415124,720.0
1415157,660.0
1415191,680.0
1415227,720.0
1415268,820.0
1415309,820.0
1415346,740.0
1415389,860.0
1415431,840.0
1415472,820.0
1415510,760.0
1415549,780.0
1415586,740.0
1415624,760.0
1415666,840.0
1415707,820.0
1415748,820.0
1415790,840.0
1415835,900.0
1415878,860.0
1415920,840.0
1415960,800.0
1416000,800.0
1416039,780.0
1416078,780.0
1416118,800.0
1416158,800.0
1416197,780.0
1416235,760.0
1416275,800.0
1416314,780.0
1416354,800.0
1416393,780.0
1416432,780.0
1416471,780.0
1416512,820.0
1416550,760.0
1416587,740.0
1416625,760.0
1416663,760.0
1416701,760.0
1416737,720.0
1416773,720.0
1416808,700.0
1416849,820.0
1416888,780.0
1416925,740.0
1416963,760.0
1417000,740.0
1417043,860.0
1417089,920.0
1417128,780.0
1417164,720.0
1417198,680.0
1417232,680.0
1417267,700.0
1417302,700.0
1417336,680.0
1417372,720.0
1417422,1000.0
1417466,880.0
1417506,800.0
1417544,760.0
1417582,760.0
1417622,800.0
1417658,720.0
1417692,680.0
1417727,700.0
1417765,760.0
1417805,800.0
1417843,760.0
1417883,800.0
1417922,780.0
1417966,880.0
1418008,840.0
1418047,780.0
1418084,740.0
1418123,780.0
1418170,940.0
1418213,860.0
1418253,800.0
1418291,760.0
1418329,760.0
1418366,740.0
1418405,780.0
1418446,820.0
1418488,840.0
1418530,840.0
1418570,800.0
1418610,800.0
1418650,800.0
1418691,820.0
1418731,800.0
1418769,760.0
1418803,680.0
1418847,880.0
1418889,840.0
1418928,780.0
1418964,720.0
