R-Peaks (Sample Index),R-R Interval (Samples)
1000022,800.0
1000057,700.0
1000091,680.0
1000124,660.0
1000157,660.0
1000190,660.0
1000226,720.0
1000262,720.0
1000297,700.0
1000332,700.0
1000366,680.0
1000402,720.0
1000438,720.0
1000472,680.0
1000505,660.0
1000538,660.0
1000571,660.0
1000604,660.0
1000637,660.0
1000670,660.0
1000704,680.0
1000739,700.0
1000775,720.0
1000810,700.0
1000845,700.0
1000879,680.0
1000912,660.0
1000948,720.0
1000987,780.0
1001023,720.0
1001058,700.0
1001091,660.0
1001126,700.0
1001163,740.0
1001207,880.0
1001246,780.0
1001283,740.0
1001322,780.0
1001364,840.0
1001403,780.0
1001441,760.0
1001477,720.0
1001515,760.0
1001557,840.0
1001596,780.0
1001631,700.0
1001666,700.0
1001704,760.0
1001748,880.0
1001788,800.0
1001826,760.0
1001862,720.0
1001898,720.0
1001933,700.0
1001968,700.0
1002005,740.0
1002041,720.0
1002079,760.0
1002130,1020.0
1002175,900.0
1002214,780.0
1002250,720.0
1002286,720.0
1002320,680.0
1002353,660.0
1002388,700.0
1002422,680.0
1002463,820.0
1002508,900.0
1002549,820.0
1002587,760.0
1002626,780.0
1002664,760.0
1002700,720.0
1002734,680.0
1002767,660.0
1002801,680.0
1002834,660.0
1002873,780.0
1002913,800.0
1002951,760.0
1002988,740.0
1003024,720.0
1003061,740.0
1003097,720.0
1003131,680.0
1003167,720.0
1003202,700.0
1003238,720.0
1003277,780.0
1003313,720.0
1003349,720.0
1003386,740.0
1003432,920.0
1003474,840.0
1003513,780.0
1003551,760.0
1003594,860.0
1003636,840.0
1003676,800.0
1003714,760.0
1003752,760.0
1003799,940.0
1003842,860.0
1003880,760.0
1003916,720.0
1003952,720.0
1003990,760.0
1004025,700.0
1004060,700.0
1004094,680.0
1004128,680.0
1004166,760.0
1004207,820.0
1004246,780.0
1004282,720.0
1004317,700.0
1004353,720.0
1004390,740.0
1004425,700.0
1004459,680.0
1004493,680.0
1004527,680.0
1004565,760.0
1004604,780.0
1004639,700.0
1004675,720.0
1004710,700.0
1004746,720.0
1004785,780.0
1004822,740.0
1004859,740.0
1004894,700.0
1004930,720.0
1004970,800.0
1005006,720.0
1005042,720.0
1005077,700.0
1005114,740.0
1005149,700.0
1005183,680.0
1005217,680.0
1005253,720.0
1005306,1060.0
1005353,940.0
1005394,820.0
1005431,740.0
1005467,720.0
1005502,700.0
1005536,680.0
1005569,660.0
1005603,680.0
1005638,700.0
1005684,920.0
1005727,860.0
1005764,740.0
1005800,720.0
1005835,700.0
1005870,700.0
1005907,740.0
1005945,760.0
1005981,720.0
1006018,740.0
1006055,740.0
1006091,720.0
1006125,680.0
1006159,680.0
1006193,680.0
1006230,740.0
1006270,800.0
1006306,720.0
1006341,700.0
1006376,700.0
1006412,720.0
1006456,880.0
1006497,820.0
1006533,720.0
1006570,740.0
1006605,700.0
1006640,700.0
1006674,680.0
1006708,680.0
1006742,680.0
1006797,1100.0
1006843,920.0
1006883,800.0
1006919,720.0
1006953,680.0
1006988,700.0
1007022,680.0
1007056,680.0
1007090,680.0
1007124,680.0
1007161,740.0
1007204,860.0
1007242,760.0
1007277,700.0
1007312,700.0
1007346,680.0
1007380,680.0
1007414,680.0
1007447,660.0
1007481,680.0
1007515,680.0
1007549,680.0
1007584,700.0
1007620,720.0
1007658,760.0
1007696,760.0
1007733,740.0
1007769,720.0
1007804,700.0
1007839,700.0
1007874,700.0
1007911,740.0
1007957,920.0
1007997,800.0
1008036,780.0
1008074,760.0
1008113,780.0
1008157,880.0
1008198,820.0
1008237,780.0
1008275,760.0
1008316,820.0
