R-Peaks (Sample Index),R-R Interval (Samples)
2000029,700.0
2000064,700.0
2000097,660.0
2000129,640.0
2000162,660.0
2000197,700.0
2000233,720.0
2000275,840.0
2000319,880.0
2000361,840.0
2000397,720.0
2000435,760.0
2000473,760.0
2000514,820.0
2000551,740.0
2000586,700.0
2000620,680.0
2000654,680.0
2000692,760.0
2000729,740.0
2000764,700.0
2000800,720.0
2000840,800.0
2000881,820.0
2000919,760.0
2000956,740.0
2000994,760.0
2001031,740.0
2001066,700.0
2001100,680.0
2001135,700.0
2001180,900.0
2001227,940.0
2001269,840.0
2001305,720.0
2001341,720.0
2001378,740.0
2001412,680.0
2001446,680.0
2001490,880.0
2001543,1060.0
2001587,880.0
2001627,800.0
2001664,740.0
2001700,720.0
2001736,720.0
2001770,680.0
2001804,680.0
2001850,920.0
2001901,1020.0
2001947,920.0
2001990,860.0
2002027,740.0
2002061,680.0
2002094,660.0
2002128,680.0
2002160,640.0
2002193,660.0
2002228,700.0
2002262,680.0
2002298,720.0
2002335,740.0
2002374,780.0
2002414,800.0
2002452,760.0
2002489,740.0
2002526,740.0
2002565,780.0
2002609,880.0
2002646,740.0
2002682,720.0
2002717,700.0
2002754,740.0
2002797,860.0
2002834,740.0
2002871,740.0
2002907,720.0
2002952,900.0
2002995,860.0
2003032,740.0
2003068,720.0
2003104,720.0
2003140,720.0
2003173,660.0
2003208,700.0
2003257,980.0
2003304,940.0
2003345,820.0
2003384,780.0
2003421,740.0
2003458,740.0
2003492,680.0
2003525,660.0
2003559,680.0
2003593,680.0
2003630,740.0
2003666,720.0
2003706,800.0
2003757,1020.0
2003803,920.0
2003847,880.0
2003886,780.0
2003925,780.0
2003970,900.0
2004006,720.0
2004042,720.0
2004078,720.0
2004128,1000.0
2004171,860.0
2004212,820.0
2004255,860.0
2004294,780.0
2004329,700.0
2004364,700.0
2004398,680.0
2004431,660.0
2004465,680.0
2004501,720.0
2004549,960.0
2004597,960.0
2004639,840.0
2004677,760.0
2004712,700.0
2004745,660.0
2004778,660.0
2004810,640.0
2004842,640.0
2004876,680.0
2004911,700.0
2004955,880.0
2004998,860.0
2005037,780.0
2005074,740.0
2005109,700.0
2005141,640.0
2005173,640.0
2005205,640.0
