# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,Arr,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock
0,0,0,0,0,0,0,0,0,0,0,0,0,40,307,15,52,-2,0,0
20000,1,0,0,0,0,0,0,0,0,0,0,0,91,354,14,51,-17,0,0
40000,2,0,0,0,0,0,0,0,0,0,0,0,86,429,13,50,-12,0,0
60000,3,0,0,0,0,0,0,0,0,0,0,0,91,425,12,49,-10,0,0
80000,4,0,0,0,0,0,0,0,0,0,0,0,92,370,11,46,-9,0,0
100000,5,0,0,0,0,0,0,0,0,0,0,0,90,438,13,48,-10,0,0
120000,6,0,0,0,0,0,0,0,0,0,0,0,92,461,14,54,-10,0,0
140000,7,0,0,0,0,0,0,0,0,0,0,0,92,383,14,53,-7,0,0
160000,8,0,0,0,0,0,0,0,0,0,0,0,91,445,13,50,-17,0,0
180000,9,0,0,0,0,0,0,0,0,0,0,0,90,374,13,57,-12,0,0
200000,10,0,0,0,0,0,0,0,0,0,0,0,92,395,14,66,-19,0,0
220000,11,0,0,0,0,0,0,0,0,0,0,0,88,380,13,67,-22,0,0
240000,12,0,0,0,0,0,0,0,0,0,0,0,95,508,17,86,-24,0,0
260000,13,0,0,0,0,0,0,0,0,0,0,0,96,493,16,84,-23,0,0
280000,14,0,0,0,0,0,0,0,0,0,0,0,92,476,15,70,-19,0,0
300000,15,0,0,0,0,0,0,0,0,0,0,0,96,488,16,79,-18,0,0
320000,16,0,0,0,0,0,0,0,0,0,0,0,93,471,15,71,-15,0,0
340000,17,0,0,0,0,0,0,0,0,0,0,0,89,476,16,77,-19,0,0
360000,18,0,0,0,0,0,0,0,0,0,0,0,92,436,16,57,-12,0,0
380000,19,0,0,0,0,0,0,0,0,0,0,0,93,462,16,61,-16,0,0
400000,20,0,0,0,0,0,0,0,0,0,0,0,92,422,15,52,-12,0,0
420000,21,0,0,0,0,0,0,0,0,0,0,0,86,440,14,54,-9,0,0
440000,22,0,0,0,0,0,0,0,0,0,0,0,93,466,14,58,-7,0,0
460000,23,0,0,0,0,0,0,0,0,0,0,0,97,464,15,62,-15,0,0
480000,24,0,0,0,0,0,0,0,0,0,0,0,92,447,14,57,-12,0,0
500000,25,0,0,0,0,0,0,0,0,0,0,0,92,449,13,54,-9,0,0
520000,26,0,0,0,0,0,0,0,0,0,0,0,91,420,13,51,-4,0,0
540000,27,0,0,0,0,0,0,0,0,0,0,0,93,443,13,55,-9,0,0
560000,28,0,0,0,0,0,0,0,0,0,0,0,93,423,14,85,-12,0,0
580000,29,0,0,0,0,0,0,0,0,0,0,0,92,440,13,54,-10,0,0
600000,30,0,0,0,0,0,0,0,0,0,0,0,91,431,13,50,-9,0,0
620000,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
