R-Peaks (Sample Index),R-R Interval (Samples)
1900014,140.0
1900042,560.0
1900070,560.0
1900097,540.0
1900125,560.0
1900152,540.0
1900180,560.0
1900208,560.0
1900235,540.0
1900263,560.0
1900291,560.0
1900318,540.0
1900346,560.0
1900373,540.0
1900400,540.0
1900428,560.0
1900455,540.0
1900483,560.0
1900510,540.0
1900538,560.0
1900565,540.0
1900592,540.0
1900619,540.0
1900646,540.0
1900673,540.0
1900701,560.0
1900728,540.0
1900755,540.0
1900781,520.0
1900808,540.0
1900836,560.0
1900863,540.0
1900891,560.0
1900919,560.0
1900947,560.0
1900975,560.0
1901003,560.0
1901031,560.0
1901059,560.0
1901087,560.0
1901115,560.0
1901143,560.0
1901171,560.0
1901198,540.0
1901226,560.0
1901253,540.0
1901281,560.0
1901308,540.0
1901336,560.0
1901363,540.0
1901391,560.0
1901418,540.0
1901445,540.0
1901473,560.0
1901501,560.0
1901528,540.0
1901556,560.0
1901584,560.0
1901611,540.0
1901638,540.0
1901666,560.0
1901693,540.0
1901721,560.0
1901748,540.0
1901776,560.0
1901803,540.0
1901830,540.0
1901857,540.0
1901885,560.0
1901913,560.0
1901941,560.0
1901968,540.0
1901996,560.0
1902023,540.0
1902051,560.0
1902078,540.0
1902106,560.0
1902134,560.0
1902162,560.0
1902190,560.0
1902217,540.0
1902245,560.0
1902272,540.0
1902299,540.0
1902327,560.0
1902354,540.0
1902382,560.0
1902409,540.0
1902436,540.0
1902462,520.0
1902489,540.0
1902517,560.0
1902544,540.0
1902571,540.0
1902599,560.0
1902626,540.0
1902654,560.0
1902681,540.0
1902708,540.0
1902736,560.0
1902763,540.0
1902791,560.0
1902819,560.0
1902846,540.0
1902873,540.0
1902900,540.0
1902928,560.0
1902955,540.0
1902983,560.0
1903010,540.0
1903038,560.0
1903065,540.0
1903092,540.0
1903119,540.0
1903147,560.0
1903175,560.0
1903202,540.0
1903230,560.0
1903257,540.0
1903285,560.0
1903312,540.0
1903339,540.0
1903367,560.0
1903395,560.0
1903422,540.0
1903450,560.0
1903477,540.0
1903504,540.0
1903531,540.0
1903559,560.0
1903586,540.0
1903614,560.0
1903643,580.0
1903670,540.0
1903698,560.0
1903726,560.0
1903754,560.0
1903782,560.0
1903810,560.0
1903838,560.0
1903867,580.0
1903894,540.0
1903922,560.0
1903950,560.0
1903978,560.0
1904006,560.0
1904034,560.0
1904062,560.0
1904089,540.0
1904117,560.0
1904145,560.0
1904172,540.0
1904200,560.0
1904228,560.0
1904255,540.0
1904283,560.0
1904310,540.0
1904337,540.0
1904364,540.0
1904392,560.0
1904419,540.0
1904447,560.0
1904474,540.0
1904501,540.0
1904529,560.0
1904556,540.0
1904584,560.0
1904612,560.0
1904640,560.0
1904668,560.0
1904696,560.0
1904724,560.0
1904751,540.0
1904779,560.0
1904806,540.0
1904834,560.0
1904861,540.0
1904888,540.0
1904915,540.0
1904941,520.0
1904968,540.0
1904995,540.0
1905021,520.0
1905048,540.0
1905075,540.0
1905101,520.0
1905128,540.0
1905154,520.0
1905181,540.0
1905209,560.0
1905236,540.0
1905263,540.0
1905291,560.0
1905318,540.0
1905345,540.0
1905373,560.0
1905400,540.0
1905428,560.0
1905456,560.0
1905483,540.0
1905511,560.0
1905538,540.0
1905565,540.0
1905593,560.0
1905620,540.0
1905648,560.0
1905675,540.0
1905703,560.0
1905730,540.0
1905757,540.0
1905785,560.0
1905812,540.0
1905840,560.0
1905868,560.0
1905896,560.0
1905923,540.0
1905951,560.0
1905977,520.0
1906004,540.0
1906031,540.0
1906058,540.0
1906086,560.0
1906113,540.0
1906142,580.0
1906170,560.0
1906198,560.0
1906227,580.0
1906255,560.0
1906283,560.0
1906311,560.0
1906340,580.0
1906369,580.0
1906398,580.0
1906428,600.0
1906457,580.0
1906485,560.0
1906513,560.0
1906542,580.0
1906570,560.0
1906598,560.0
1906626,560.0
1906654,560.0
1906681,540.0
1906709,560.0
1906736,540.0
1906764,560.0
1906791,540.0
1906819,560.0
1906847,560.0
1906874,540.0
1906902,560.0
1906929,540.0
1906957,560.0
1906984,540.0
1907012,560.0
1907040,560.0
1907068,560.0
1907096,560.0
1907124,560.0
1907152,560.0
1907180,560.0
1907208,560.0
1907237,580.0
1907265,560.0
1907294,580.0
1907322,560.0
1907350,560.0
1907378,560.0
1907406,560.0
1907435,580.0
1907463,560.0
1907491,560.0
1907519,560.0
1907547,560.0
1907574,540.0
1907602,560.0
1907630,560.0
1907658,560.0
1907686,560.0
1907714,560.0
1907741,540.0
1907769,560.0
1907797,560.0
1907824,540.0
1907852,560.0
1907880,560.0
1907908,560.0
1907935,540.0
1907963,560.0
1907991,560.0
1908018,540.0
1908046,560.0
1908074,560.0
1908102,560.0
1908130,560.0
1908157,540.0
1908185,560.0
1908212,540.0
1908240,560.0
1908268,560.0
1908296,560.0
1908324,560.0
1908351,540.0
1908379,560.0
1908407,560.0
1908434,540.0
1908462,560.0
1908490,560.0
1908518,560.0
1908546,560.0
1908573,540.0
1908600,540.0
1908627,540.0
1908655,560.0
1908682,540.0
1908709,540.0
1908737,560.0
1908764,540.0
1908791,540.0
1908818,540.0
1908846,560.0
1908874,560.0
1908902,560.0
1908930,560.0
1908958,560.0
1908986,560.0
1909013,540.0
1909041,560.0
1909069,560.0
1909098,580.0
1909126,560.0
1909154,560.0
1909182,560.0
1909210,560.0
1909238,560.0
1909266,560.0
1909294,560.0
1909322,560.0
1909350,560.0
1909378,560.0
1909406,560.0
1909433,540.0
1909461,560.0
1909489,560.0
1909517,560.0
1909545,560.0
1909573,560.0
1909601,560.0
1909628,540.0
1909656,560.0
1909684,560.0
1909713,580.0
1909741,560.0
1909770,580.0
1909797,540.0
1909825,560.0
1909853,560.0
1909881,560.0
1909909,560.0
1909937,560.0
1909966,580.0
1909994,560.0
1910022,560.0
1910050,560.0
1910078,560.0
1910106,560.0
1910134,560.0
1910162,560.0
1910190,560.0
1910217,540.0
1910245,560.0
1910272,540.0
1910299,540.0
1910327,560.0
1910355,560.0
1910382,540.0
1910409,540.0
1910436,540.0
1910464,560.0
1910491,540.0
1910518,540.0
1910546,560.0
1910574,560.0
1910601,540.0
1910629,560.0
1910656,540.0
1910684,560.0
1910713,580.0
1910741,560.0
1910769,560.0
1910797,560.0
1910825,560.0
1910853,560.0
1910881,560.0
1910909,560.0
1910937,560.0
1910965,560.0
1910992,540.0
1911020,560.0
1911047,540.0
1911076,580.0
1911104,560.0
1911132,560.0
1911160,560.0
1911188,560.0
1911216,560.0
1911243,540.0
1911271,560.0
1911299,560.0
1911326,540.0
1911354,560.0
1911382,560.0
1911409,540.0
1911436,540.0
1911464,560.0
1911491,540.0
1911520,580.0
1911548,560.0
1911576,560.0
1911603,540.0
1911631,560.0
1911659,560.0
1911686,540.0
1911714,560.0
1911742,560.0
1911769,540.0
1911797,560.0
1911824,540.0
1911852,560.0
1911879,540.0
1911907,560.0
1911935,560.0
1911963,560.0
1911991,560.0
1912018,540.0
1912045,540.0
1912072,540.0
1912100,560.0
1912127,540.0
1912155,560.0
1912183,560.0
1912211,560.0
1912238,540.0
1912266,560.0
1912293,540.0
1912321,560.0
1912349,560.0
1912377,560.0
1912405,560.0
1912432,540.0
1912459,540.0
1912487,560.0
1912514,540.0
1912542,560.0
1912570,560.0
1912597,540.0
1912624,540.0
1912652,560.0
1912679,540.0
1912707,560.0
1912735,560.0
1912763,560.0
1912792,580.0
1912820,560.0
1912848,560.0
1912876,560.0
1912904,560.0
1912933,580.0
1912961,560.0
1912989,560.0
1913017,560.0
1913045,560.0
1913073,560.0
1913100,540.0
1913128,560.0
1913156,560.0
1913184,560.0
1913212,560.0
1913239,540.0
1913266,540.0
1913293,540.0
1913321,560.0
1913348,540.0
1913376,560.0
1913404,560.0
1913431,540.0
1913459,560.0
1913486,540.0
1913514,560.0
1913542,560.0
1913570,560.0
1913598,560.0
1913626,560.0
1913654,560.0
1913682,560.0
1913709,540.0
1913737,560.0
1913765,560.0
1913792,540.0
1913820,560.0
1913848,560.0
1913876,560.0
1913903,540.0
1913931,560.0
1913959,560.0
1913987,560.0
1914015,560.0
1914044,580.0
1914071,540.0
1914099,560.0
1914127,560.0
1914155,560.0
1914183,560.0
1914212,580.0
1914240,560.0
1914269,580.0
1914297,560.0
1914325,560.0
1914353,560.0
1914382,580.0
1914410,560.0
1914439,580.0
1914467,560.0
1914495,560.0
1914523,560.0
1914551,560.0
1914580,580.0
1914608,560.0
1914636,560.0
1914664,560.0
1914691,540.0
1914719,560.0
1914746,540.0
1914774,560.0
1914802,560.0
1914830,560.0
1914858,560.0
1914885,540.0
1914913,560.0
1914941,560.0
1914969,560.0
1914997,560.0
1915025,560.0
1915053,560.0
1915081,560.0
1915109,560.0
1915137,560.0
1915164,540.0
1915192,560.0
1915220,560.0
1915248,560.0
1915276,560.0
1915304,560.0
1915331,540.0
1915359,560.0
1915387,560.0
1915416,580.0
1915444,560.0
1915473,580.0
1915501,560.0
1915529,560.0
1915557,560.0
1915586,580.0
1915614,560.0
1915643,580.0
1915672,580.0
1915700,560.0
1915728,560.0
1915756,560.0
1915783,540.0
1915811,560.0
1915839,560.0
1915867,560.0
1915895,560.0
1915922,540.0
1915949,540.0
1915977,560.0
1916004,540.0
1916032,560.0
1916060,560.0
1916088,560.0
1916115,540.0
1916143,560.0
1916171,560.0
1916199,560.0
1916227,560.0
1916255,560.0
1916283,560.0
1916311,560.0
1916339,560.0
1916366,540.0
1916394,560.0
1916421,540.0
1916449,560.0
1916477,560.0
1916505,560.0
1916533,560.0
1916560,540.0
1916588,560.0
1916615,540.0
1916643,560.0
1916670,540.0
1916698,560.0
1916725,540.0
1916752,540.0
1916780,560.0
1916807,540.0
1916835,560.0
1916863,560.0
1916891,560.0
