R-Peaks (Sample Index),R-R Interval (Samples)
2000022,560.0
2000048,520.0
2000075,540.0
2000102,540.0
2000129,540.0
2000156,540.0
2000184,560.0
2000212,560.0
2000241,580.0
2000271,600.0
2000300,580.0
2000329,580.0
2000358,580.0
2000386,560.0
2000414,560.0
2000442,560.0
2000470,560.0
2000498,560.0
2000526,560.0
2000553,540.0
2000581,560.0
2000609,560.0
2000638,580.0
2000667,580.0
2000695,560.0
2000724,580.0
2000753,580.0
2000783,600.0
2000814,620.0
2000844,600.0
2000875,620.0
2000904,580.0
2000934,600.0
2000962,560.0
2000990,560.0
2001018,560.0
2001045,540.0
2001073,560.0
2001100,540.0
2001128,560.0
2001157,580.0
2001187,600.0
2001217,600.0
2001247,600.0
2001276,580.0
2001305,580.0
2001334,580.0
2001363,580.0
2001392,580.0
2001421,580.0
2001450,580.0
2001478,560.0
2001506,560.0
2001535,580.0
2001563,560.0
2001591,560.0
2001619,560.0
2001647,560.0
2001674,540.0
2001701,540.0
2001728,540.0
2001755,540.0
2001782,540.0
2001808,520.0
2001834,520.0
2001861,540.0
2001886,500.0
2001913,540.0
2001939,520.0
2001965,520.0
2001991,520.0
2002018,540.0
2002045,540.0
2002072,540.0
2002099,540.0
2002127,560.0
2002154,540.0
2002181,540.0
2002209,560.0
2002237,560.0
2002265,560.0
2002293,560.0
2002320,540.0
2002348,560.0
2002375,540.0
2002402,540.0
2002428,520.0
2002456,560.0
2002483,540.0
2002510,540.0
2002537,540.0
2002564,540.0
2002591,540.0
2002618,540.0
2002645,540.0
2002671,520.0
2002699,560.0
2002726,540.0
2002752,520.0
2002781,580.0
2002809,560.0
2002836,540.0
2002863,540.0
2002891,560.0
2002919,560.0
2002946,540.0
2002973,540.0
2003000,540.0
2003027,540.0
2003054,540.0
2003081,540.0
2003107,520.0
2003135,560.0
2003161,520.0
2003188,540.0
2003216,560.0
2003243,540.0
2003271,560.0
2003298,540.0
2003326,560.0
2003353,540.0
2003381,560.0
2003408,540.0
2003435,540.0
2003463,560.0
2003490,540.0
2003517,540.0
2003544,540.0
2003571,540.0
2003598,540.0
2003626,560.0
2003654,560.0
2003681,540.0
2003708,540.0
2003736,560.0
2003763,540.0
2003790,540.0
2003818,560.0
2003845,540.0
2003873,560.0
2003900,540.0
2003928,560.0
2003955,540.0
2003983,560.0
2004011,560.0
2004039,560.0
2004066,540.0
2004093,540.0
2004120,540.0
2004148,560.0
2004175,540.0
2004203,560.0
2004231,560.0
2004259,560.0
2004286,540.0
2004314,560.0
2004342,560.0
2004370,560.0
2004397,540.0
2004425,560.0
2004453,560.0
2004480,540.0
2004507,540.0
2004535,560.0
2004562,540.0
2004590,560.0
2004618,560.0
2004645,540.0
2004673,560.0
2004700,540.0
2004727,540.0
2004755,560.0
2004783,560.0
2004811,560.0
2004839,560.0
2004867,560.0
2004894,540.0
2004922,560.0
2004951,580.0
2004979,560.0
2005008,580.0
2005036,560.0
2005065,580.0
2005093,560.0
2005121,560.0
2005149,560.0
2005177,560.0
2005205,560.0
2005233,560.0
2005260,540.0
2005287,540.0
2005315,560.0
2005343,560.0
2005371,560.0
2005399,560.0
2005426,540.0
2005453,540.0
2005480,540.0
2005507,540.0
2005534,540.0
2005561,540.0
2005588,540.0
2005615,540.0
2005643,560.0
2005671,560.0
2005699,560.0
2005728,580.0
2005756,560.0
2005784,560.0
2005812,560.0
2005840,560.0
2005868,560.0
2005896,560.0
2005925,580.0
2005953,560.0
2005981,560.0
2006008,540.0
