R-Peaks (Sample Index),R-R Interval (Samples)
1500018,580.0
1500034,320.0
1500061,540.0
1500087,520.0
1500114,540.0
1500141,540.0
1500168,540.0
1500194,520.0
1500221,540.0
1500247,520.0
1500274,540.0
1500300,520.0
1500327,540.0
1500353,520.0
1500379,520.0
1500405,520.0
1500431,520.0
1500457,520.0
1500483,520.0
1500509,520.0
1500534,500.0
1500560,520.0
1500586,520.0
1500612,520.0
1500638,520.0
1500664,520.0
1500690,520.0
1500716,520.0
1500742,520.0
1500768,520.0
1500794,520.0
1500821,540.0
1500847,520.0
1500873,520.0
1500899,520.0
1500925,520.0
1500952,540.0
1500978,520.0
1501004,520.0
1501030,520.0
1501056,520.0
1501082,520.0
1501108,520.0
1501134,520.0
1501160,520.0
1501186,520.0
1501211,500.0
1501237,520.0
1501263,520.0
1501289,520.0
1501315,520.0
1501341,520.0
1501367,520.0
1501393,520.0
1501420,540.0
1501446,520.0
1501473,540.0
1501499,520.0
1501525,520.0
1501552,540.0
1501578,520.0
1501605,540.0
1501631,520.0
1501658,540.0
1501684,520.0
1501711,540.0
1501737,520.0
1501763,520.0
1501790,540.0
1501816,520.0
1501842,520.0
1501869,540.0
1501895,520.0
1501921,520.0
1501947,520.0
1501974,540.0
1502000,520.0
1502027,540.0
1502053,520.0
1502079,520.0
1502106,540.0
1502133,540.0
1502160,540.0
1502187,540.0
1502213,520.0
1502240,540.0
1502268,560.0
1502295,540.0
1502322,540.0
1502350,560.0
1502377,540.0
1502404,540.0
1502431,540.0
1502459,560.0
1502486,540.0
1502513,540.0
1502540,540.0
1502567,540.0
1502594,540.0
1502621,540.0
1502648,540.0
1502675,540.0
1502702,540.0
1502730,560.0
1502757,540.0
1502784,540.0
1502811,540.0
1502839,560.0
1502866,540.0
1502894,560.0
1502922,560.0
1502949,540.0
1502977,560.0
1503005,560.0
1503033,560.0
1503061,560.0
1503088,540.0
1503116,560.0
1503143,540.0
1503171,560.0
1503198,540.0
1503225,540.0
1503252,540.0
1503280,560.0
1503307,540.0
1503334,540.0
1503361,540.0
1503388,540.0
1503416,560.0
1503443,540.0
1503471,560.0
1503498,540.0
1503526,560.0
1503553,540.0
1503581,560.0
1503608,540.0
1503636,560.0
1503663,540.0
1503691,560.0
1503719,560.0
1503746,540.0
1503774,560.0
1503801,540.0
1503828,540.0
1503856,560.0
1503883,540.0
1503911,560.0
1503938,540.0
1503965,540.0
1503992,540.0
1504020,560.0
1504047,540.0
1504075,560.0
1504102,540.0
1504130,560.0
1504157,540.0
1504185,560.0
1504212,540.0
1504240,560.0
1504268,560.0
1504295,540.0
1504322,540.0
1504350,560.0
1504377,540.0
1504405,560.0
1504433,560.0
1504460,540.0
1504488,560.0
1504515,540.0
1504543,560.0
1504570,540.0
1504598,560.0
1504626,560.0
1504654,560.0
1504682,560.0
1504709,540.0
1504737,560.0
1504764,540.0
1504792,560.0
1504819,540.0
1504847,560.0
1504875,560.0
1504902,540.0
1504929,540.0
1504957,560.0
1504984,540.0
1505012,560.0
1505039,540.0
1505066,540.0
1505094,560.0
1505121,540.0
1505148,540.0
1505176,560.0
1505203,540.0
1505231,560.0
1505258,540.0
1505286,560.0
1505313,540.0
1505341,560.0
1505368,540.0
1505396,560.0
1505424,560.0
1505452,560.0
1505479,540.0
1505507,560.0
1505534,540.0
1505562,560.0
1505589,540.0
1505617,560.0
1505645,560.0
1505672,540.0
1505699,540.0
1505727,560.0
1505754,540.0
1505782,560.0
1505810,560.0
1505837,540.0
1505865,560.0
1505892,540.0
1505919,540.0
1505947,560.0
1505974,540.0
1506002,560.0
1506030,560.0
1506057,540.0
1506084,540.0
1506112,560.0
1506139,540.0
1506166,540.0
1506194,560.0
1506221,540.0
1506248,540.0
1506275,540.0
1506302,540.0
1506329,540.0
1506357,560.0
1506384,540.0
1506412,560.0
1506439,540.0
1506467,560.0
1506494,540.0
1506522,560.0
1506549,540.0
1506577,560.0
1506605,560.0
1506632,540.0
1506660,560.0
1506687,540.0
1506715,560.0
1506742,540.0
1506770,560.0
1506797,540.0
1506825,560.0
1506852,540.0
1506879,540.0
1506906,540.0
1506933,540.0
1506961,560.0
1506988,540.0
1507015,540.0
1507042,540.0
1507069,540.0
1507096,540.0
1507124,560.0
1507151,540.0
1507178,540.0
1507205,540.0
1507233,560.0
1507260,540.0
1507288,560.0
1507315,540.0
1507343,560.0
1507371,560.0
1507399,560.0
1507426,540.0
1507454,560.0
1507481,540.0
1507509,560.0
1507536,540.0
1507564,560.0
1507591,540.0
1507618,540.0
1507645,540.0
1507672,540.0
1507699,540.0
1507727,560.0
1507754,540.0
1507781,540.0
1507808,540.0
1507835,540.0
1507862,540.0
1507889,540.0
1507917,560.0
1507944,540.0
1507972,560.0
1507999,540.0
1508027,560.0
1508054,540.0
1508082,560.0
1508110,560.0
1508138,560.0
1508166,560.0
1508193,540.0
1508220,540.0
1508248,560.0
1508275,540.0
1508303,560.0
1508331,560.0
1508359,560.0
1508386,540.0
1508414,560.0
1508442,560.0
1508469,540.0
1508497,560.0
1508525,560.0
1508553,560.0
1508581,560.0
1508609,560.0
1508637,560.0
1508664,540.0
1508692,560.0
1508720,560.0
1508748,560.0
1508776,560.0
1508803,540.0
1508831,560.0
1508858,540.0
1508886,560.0
1508914,560.0
1508941,540.0
1508969,560.0
1508997,560.0
1509024,540.0
1509052,560.0
1509079,540.0
1509107,560.0
1509134,540.0
1509162,560.0
1509189,540.0
1509217,560.0
1509244,540.0
1509272,560.0
1509300,560.0
1509327,540.0
1509355,560.0
1509383,560.0
1509410,540.0
1509438,560.0
1509465,540.0
1509493,560.0
1509521,560.0
1509548,540.0
1509576,560.0
1509603,540.0
1509630,540.0
1509658,560.0
1509685,540.0
1509713,560.0
1509741,560.0
1509768,540.0
1509796,560.0
1509823,540.0
1509851,560.0
1509879,560.0
1509907,560.0
1509935,560.0
1509963,560.0
1509990,540.0
1510018,560.0
1510046,560.0
1510074,560.0
1510102,560.0
1510130,560.0
1510158,560.0
1510186,560.0
1510214,560.0
1510242,560.0
1510270,560.0
1510298,560.0
1510326,560.0
1510354,560.0
1510381,540.0
1510408,540.0
1510436,560.0
1510464,560.0
1510491,540.0
1510519,560.0
1510547,560.0
1510574,540.0
1510602,560.0
1510629,540.0
1510657,560.0
1510685,560.0
1510713,560.0
1510741,560.0
1510769,560.0
1510796,540.0
1510824,560.0
1510852,560.0
1510880,560.0
1510908,560.0
1510936,560.0
1510964,560.0
1510992,560.0
1511020,560.0
1511048,560.0
1511076,560.0
1511104,560.0
1511132,560.0
1511160,560.0
1511188,560.0
1511215,540.0
1511243,560.0
1511271,560.0
1511299,560.0
1511326,540.0
1511353,540.0
1511381,560.0
1511408,540.0
1511435,540.0
1511463,560.0
1511491,560.0
1511518,540.0
1511546,560.0
1511573,540.0
1511601,560.0
1511629,560.0
1511658,580.0
1511686,560.0
1511714,560.0
1511742,560.0
1511770,560.0
1511798,560.0
1511826,560.0
1511854,560.0
1511882,560.0
1511910,560.0
1511938,560.0
1511965,540.0
1511993,560.0
1512020,540.0
1512047,540.0
1512075,560.0
1512102,540.0
1512129,540.0
1512156,540.0
1512183,540.0
1512210,540.0
1512237,540.0
1512265,560.0
1512292,540.0
1512320,560.0
1512348,560.0
1512375,540.0
1512403,560.0
1512430,540.0
1512458,560.0
1512486,560.0
1512513,540.0
1512541,560.0
1512568,540.0
1512596,560.0
1512623,540.0
1512651,560.0
1512678,540.0
1512706,560.0
1512733,540.0
1512761,560.0
1512788,540.0
1512815,540.0
1512842,540.0
1512870,560.0
1512897,540.0
1512925,560.0
1512952,540.0
1512979,540.0
1513006,540.0
1513034,560.0
1513062,560.0
1513089,540.0
1513117,560.0
1513145,560.0
1513173,560.0
1513201,560.0
1513228,540.0
1513256,560.0
1513284,560.0
1513312,560.0
1513340,560.0
1513367,540.0
1513395,560.0
1513422,540.0
1513450,560.0
1513477,540.0
1513505,560.0
1513532,540.0
1513559,540.0
1513587,560.0
1513614,540.0
1513642,560.0
1513670,560.0
1513698,560.0
1513726,560.0
1513753,540.0
1513781,560.0
1513809,560.0
1513837,560.0
1513865,560.0
1513893,560.0
1513921,560.0
1513948,540.0
1513976,560.0
1514004,560.0
1514031,540.0
1514059,560.0
1514087,560.0
1514114,540.0
1514141,540.0
1514168,540.0
1514195,540.0
1514222,540.0
1514250,560.0
1514277,540.0
1514304,540.0
1514331,540.0
1514358,540.0
1514386,560.0
1514413,540.0
1514440,540.0
1514468,560.0
1514496,560.0
1514524,560.0
1514551,540.0
1514579,560.0
1514607,560.0
1514635,560.0
1514663,560.0
1514691,560.0
1514719,560.0
1514747,560.0
1514775,560.0
1514803,560.0
1514830,540.0
1514858,560.0
1514886,560.0
1514914,560.0
1514943,580.0
1514970,540.0
1514998,560.0
1515025,540.0
1515053,560.0
1515081,560.0
1515108,540.0
1515136,560.0
1515164,560.0
1515192,560.0
1515219,540.0
1515247,560.0
1515275,560.0
1515303,560.0
1515332,580.0
1515360,560.0
1515387,540.0
1515415,560.0
1515443,560.0
1515470,540.0
1515498,560.0
1515526,560.0
1515554,560.0
1515581,540.0
1515608,540.0
1515636,560.0
1515663,540.0
1515691,560.0
1515719,560.0
1515746,540.0
1515774,560.0
1515801,540.0
1515828,540.0
1515855,540.0
1515883,560.0
1515910,540.0
1515938,560.0
1515965,540.0
1515993,560.0
1516020,540.0
1516047,540.0
1516075,560.0
1516103,560.0
1516131,560.0
1516158,540.0
1516186,560.0
1516213,540.0
1516241,560.0
1516268,540.0
1516296,560.0
1516323,540.0
1516351,560.0
1516378,540.0
1516405,540.0
1516432,540.0
1516460,560.0
1516488,560.0
1516515,540.0
1516543,560.0
1516571,560.0
1516598,540.0
1516626,560.0
1516653,540.0
1516681,560.0
1516708,540.0
1516736,560.0
1516764,560.0
1516792,560.0
1516819,540.0
1516847,560.0
1516875,560.0
1516904,580.0
1516933,580.0
1516961,560.0
1516990,580.0
1517018,560.0
1517046,560.0
1517074,560.0
1517103,580.0
1517131,560.0
1517159,560.0
1517187,560.0
1517214,540.0
1517242,560.0
1517269,540.0
1517297,560.0
1517325,560.0
1517353,560.0
1517380,540.0
1517408,560.0
1517435,540.0
1517463,560.0
1517490,540.0
1517518,560.0
1517547,580.0
1517575,560.0
1517603,560.0
1517631,560.0
1517659,560.0
1517687,560.0
1517715,560.0
1517743,560.0
1517771,560.0
1517799,560.0
1517827,560.0
1517855,560.0
1517883,560.0
1517911,560.0
1517939,560.0
1517967,560.0
1517995,560.0
1518023,560.0
1518051,560.0
1518079,560.0
1518107,560.0
1518135,560.0
1518164,580.0
1518192,560.0
1518219,540.0
1518247,560.0
1518274,540.0
1518302,560.0
1518330,560.0
1518358,560.0
1518385,540.0
1518413,560.0
1518440,540.0
1518468,560.0
1518496,560.0
1518524,560.0
1518553,580.0
1518581,560.0
1518610,580.0
1518637,540.0
1518666,580.0
1518693,540.0
1518721,560.0
1518749,560.0
1518777,560.0
1518804,540.0
1518831,540.0
1518858,540.0
1518886,560.0
1518913,540.0
1518941,560.0
1518969,560.0
1518996,540.0
1519023,540.0
1519051,560.0
1519078,540.0
1519106,560.0
1519134,560.0
1519162,560.0
